date,time,tap_id,free_chlorine_mgL,method,notes
2026-01-24,11:28,T1,0.06,DPD colorimeter,
2026-01-20,15:30,T2,0.25,DPD colorimeter,
2026-01-24,07:45,T3,0.62,DPD colorimeter,
2026-01-09,07:57,T4,0.77,DPD colorimeter,
2026-01-01,11:02,T5,0.23,DPD colorimeter,
2026-01-19,07:08,T6,0.72,DPD colorimeter,
2026-01-17,09:49,T7,0.38,DPD colorimeter,
2026-01-27,12:56,T8,0.43,DPD colorimeter,
2026-01-19,11:14,T9,0.67,DPD colorimeter,
2026-01-19,16:18,T10,1.26,DPD colorimeter,
2026-01-04,16:52,V1-1,0.16,DPD colorimeter,
2026-01-15,16:25,V1-2,0.57,DPD colorimeter,
2026-01-14,11:16,V1-3,0.08,DPD colorimeter,
2026-02-07,13:49,T1,0.09,DPD colorimeter,
2026-02-14,10:15,T2,0.29,DPD colorimeter,
2026-02-09,10:24,T3,0.65,DPD colorimeter,
2026-02-20,16:38,T4,0.69,DPD colorimeter,
2026-02-11,13:32,T5,0.17,DPD colorimeter,
2026-02-09,16:05,T6,0.49,DPD colorimeter,
2026-02-03,09:01,T7,0.29,DPD colorimeter,
2026-02-16,07:51,T8,0.54,DPD colorimeter,
2026-02-25,08:45,T9,0.61,DPD colorimeter,
2026-02-21,15:50,T10,1.14,DPD colorimeter,
2026-02-27,07:32,V2-1,1.2,DPD colorimeter,
2026-02-17,09:49,V2-2,0.52,DPD colorimeter,
2026-02-25,13:19,V2-3,0.84,DPD colorimeter,
2026-03-03,14:27,T1,0.09,DPD colorimeter,
2026-03-26,15:47,T2,0.27,DPD colorimeter,
2026-03-26,12:07,T3,0.72,DPD colorimeter,
2026-03-27,10:18,T4,0.63,DPD colorimeter,
2026-03-13,07:07,T5,0.21,DPD colorimeter,
2026-03-14,11:27,T6,0.52,DPD colorimeter,
2026-03-22,09:58,T7,0.36,DPD colorimeter,
2026-03-20,10:08,T8,0.11,DPD colorimeter,
2026-03-26,17:22,T9,0.55,DPD colorimeter,
2026-03-20,08:24,T10,1.11,DPD colorimeter,
2026-03-27,14:54,V3-1,0.09,DPD colorimeter,
2026-03-24,08:12,V3-2,0.63,DPD colorimeter,
2026-03-26,16:30,V3-3,0.36,DPD colorimeter,
2026-04-07,16:15,T1,0.1,DPD colorimeter,
2026-04-25,12:01,T2,0.28,DPD colorimeter,
2026-04-27,15:45,T3,0.58,DPD colorimeter,
2026-04-18,09:03,T4,0.67,DPD colorimeter,
2026-04-19,11:16,T5,0.24,DPD colorimeter,
2026-04-05,07:29,T6,0.7,DPD colorimeter,
2026-04-26,13:29,T7,0.26,DPD colorimeter,
2026-04-03,14:07,T8,0.17,DPD colorimeter,
2026-04-25,15:58,T9,0.63,DPD colorimeter,
2026-04-14,17:44,T10,1.29,DPD colorimeter,
2026-04-18,16:57,V4-1,0.69,DPD colorimeter,
2026-04-24,10:05,V4-2,0.49,DPD colorimeter,
2026-04-21,17:43,V4-3,0.58,DPD colorimeter,
2026-05-04,08:17,T1,0.09,DPD colorimeter,
2026-05-16,15:32,T2,0.21,DPD colorimeter,
2026-05-22,15:55,T3,0.55,DPD colorimeter,
2026-05-08,12:16,T4,0.53,DPD colorimeter,
2026-05-23,12:43,T5,0.16,DPD colorimeter,
2026-05-26,14:09,T6,0.47,DPD colorimeter,
2026-05-15,07:19,T7,0.28,DPD colorimeter,
2026-05-23,07:58,T8,0.24,DPD colorimeter,
2026-05-11,16:25,T9,0.51,DPD colorimeter,
2026-05-02,17:30,T10,1.14,DPD colorimeter,
2026-05-12,15:17,V5-1,0.72,DPD colorimeter,
2026-05-01,08:06,V5-2,0.58,DPD colorimeter,
2026-05-03,08:25,V5-3,0.03,DPD colorimeter,
2026-06-22,17:37,T1,0.08,DPD colorimeter,
2026-06-12,08:27,T2,0.32,DPD colorimeter,
2026-06-12,07:46,T3,0.62,DPD colorimeter,
2026-06-14,11:21,T4,0.47,DPD colorimeter,
2026-06-01,17:36,T5,0.64,DPD colorimeter,
2026-06-14,10:46,T6,0.56,DPD colorimeter,
2026-06-05,16:55,T7,0.22,DPD colorimeter,
2026-06-16,12:25,T8,0.14,DPD colorimeter,
2026-06-02,17:02,T9,0.53,DPD colorimeter,
2026-06-08,09:43,T10,1.09,DPD colorimeter,
2026-06-15,15:31,V6-1,0.52,DPD colorimeter,
2026-06-26,17:52,V6-2,0.32,DPD colorimeter,
2026-06-27,15:27,V6-3,0.66,DPD colorimeter,
