,age_h,age_mean_h,age_max_h,emb0,emb1,emb2,dist_src_km,dist_tank_km,path_len_km,path_mean_rough,path_min_rough,path_mean_diam_m,path_min_diam_m,path_sum_L_over_D,path_wall_index,elevation_m,demand_lps,degree,inc_vel_mean_ms,inc_vel_min_ms,inc_abs_flow_m3s,inc_frac_sloshing,pressure_mean_m,pressure_min_m
10,0.0,2.2916667461395264,10.0,-1208.008329832799,6472.154486695309,-8160.95956994651,0.001,8.828227199999999,0.001,130.0,130.0,0.3,0.3,0.0,0.0,44.805600000000005,0.0,2.0,0.7379478812217712,2.4171587398313932e-08,0.12115123867988586,0.0,17.247821807861328,-0.6542763113975525
15,61.393802642822266,38.8589973449707,113.35879516601562,-3664.9434382772124,5812.1585869510345,3139.0105873786783,11.190207999999998,2.9364432000000007,11.189207999999999,122.26368836829204,110.0,0.3468265867611005,0.2032,35034.16666666667,40594.896625298956,9.7536,0.0630901964,1.0,0.5139285922050476,2.5851801255249995e-10,0.01666632853448391,0.0,35.90464401245117,29.22047996520996
20,104.35879516601562,59.58348083496094,112.35879516601562,-3434.041229643022,2364.6359424089324,1215.8922362465632,8.799052,0.0301752,8.798052,120.16109475142908,110.0,0.4149179975749177,0.2032,23780.166666666664,29340.896625298952,39.3192,0.0,2.0,0.23150864243507385,0.005154773592948914,0.09016583114862442,1.0,10.091594696044922,9.165746688842773
35,5.112118244171143,15.127665519714355,44.11272048950195,1001.7230135003606,-309.51730997610565,-396.3831352805377,8.495776,0.42031920000000006,8.494776,119.80983135988517,110.0,0.3683774668101902,0.2032,25096.666666666664,30657.396625298956,3.81,0.0630901964,1.0,0.37136879563331604,0.34867164492607117,0.10838896036148071,0.0,42.51029586791992,40.993289947509766
40,9.757829666137695,33.8970832824707,83.56859588623047,1207.9121512560043,-190.9735783486454,-554.799772403202,8.831055999999998,0.0301752,8.830055999999999,120.19675526406627,110.0,0.36564777355885403,0.2032,26211.666666666664,31772.396625298956,40.203120000000006,0.0,2.0,0.20199382305145264,5.779109415016137e-05,0.02905048429965973,1.0,6.0690131187438965,4.787552356719971
50,11.004365921020508,30.54099464416504,119.0748519897461,5482.822835771163,-1488.1541655164808,462.28736006800096,12.897057520000002,0.0301752,12.896057520000003,123.28762299130933,110.0,0.3451245613910692,0.2032,40017.01666666668,45577.746625298954,35.5092,0.0,2.0,0.09641429036855698,1.0839981769095175e-05,0.009672079235315323,1.0,7.953244686126709,6.535475254058838
60,0.06194908916950226,0.05501757562160492,0.06331352144479752,-16498.97024058153,-6806.927686872869,8.408258429483302,0.3752088,15.866668800000001,0.3752088,140.0,140.0,0.6095999999999999,0.6095999999999999,615.5000000000001,488.5226737432135,0.0,0.0,3.0,1.3938977718353271,0.0,0.47354656457901,0.0,65.2698974609375,63.681854248046875
601,0.06202772259712219,0.7958859801292419,5.500050067901611,-16498.687531767533,-6806.777351438787,8.414757076383836,0.3755136,15.866364,0.3755136,140.0,140.0,0.6097237012987012,0.6095999999999999,615.9000000000001,488.8401539536071,0.0,0.0,2.0,0.8127856254577637,0.0,0.3706599771976471,0.0,72.46487426757812,65.67512512207031
61,0.06210635229945183,0.05513681098818779,0.06347425282001495,-16498.404822953536,-6806.627016004696,8.421255723273887,0.3758184,15.866059200000002,0.3758184,139.99999999999997,140.0,0.6098472019464719,0.6095999999999999,616.3000000000001,489.15763416400074,0.0,0.0,3.0,1.038395881652832,3.5295979472493855e-08,0.47354650497436523,0.0,72.46460723876953,65.67474365234375
101,0.9483956098556519,7.1710052490234375,26.76072120666504,-1646.9219634210983,1943.4558549608362,-2736.7628468431008,4.32916,4.500067199999999,4.32816,110.0,110.0,0.4572,0.4572,9466.666666666666,15027.396625298952,12.8016,11.98398280618,3.0,0.6853618025779724,2.4171587398313932e-08,0.08240413665771484,0.3333333333333333,38.25908279418945,31.349721908569336
