,age_h,age_mean_h,age_max_h,emb0,emb1,emb2,dist_src_km,dist_tank_km,path_len_km,path_mean_rough,path_min_rough,path_mean_diam_m,path_min_diam_m,path_sum_L_over_D,path_wall_index,elevation_m,demand_lps,degree,inc_vel_mean_ms,inc_vel_min_ms,inc_abs_flow_m3s,inc_frac_sloshing,pressure_mean_m,pressure_min_m
J-1,16.72370719909668,15.32650375366211,23.73284149169922,657.7402832896194,1147.7417816531795,-1973.3746314793786,4.759062112,2.5722151248,4.758062111999999,150.00000000000003,150.0,0.23080505487353334,0.2032,21294.956000000002,13414.981660492565,186.35158056,0.15709458903600002,3.0,0.1815204620361328,0.007409600540995598,0.005635460838675499,0.0,60.8421630859375,57.86085891723633
J-10,68.85393524169922,58.4582633972168,71.20664978027344,7999.871110862694,973.6774021907856,1366.904906189487,12.665320518400002,3.3907552200000004,12.6643205184,150.0,150.0,0.2401650512707605,0.1016,58677.789000000004,36964.69076119493,166.395654,0.10346792209599999,1.0,0.012756439857184887,0.0026673185639083385,0.00010342049790779129,0.0,79.49667358398438,75.83143615722656
J-100,5.609917163848877,5.25196647644043,5.640387058258057,-5502.344358014623,-454.61538047725173,2145.338721253508,6.2366145544,0.7930097424,6.235614554399999,145.82179203465748,140.0,0.3375666575700043,0.1016,19413.414500000003,13279.397375088074,215.12738280000002,0.074446431752,3.0,0.13164301216602325,9.351868357043713e-05,0.004269086290150881,0.0,33.8570556640625,32.126399993896484
J-101,54.207862854003906,62.7175407409668,80.67534637451172,4198.20818694063,157.39340410294912,-139.82230633327706,8.8150482088,1.4354872992,8.814048208800001,149.99999999999997,150.0,0.20093504315953384,0.15239999999999998,46141.579500000014,29067.373643723884,195.09400656,0.0157725491,2.0,0.006572147365659475,0.0013233833014965057,0.00021312992612365633,0.0,51.19894790649414,47.809879302978516
J-102,122.40918731689453,126.85448455810547,132.9127960205078,-4521.549305335203,-462.67673730645953,1618.0829930005495,5.261843732799997,1.3695931967999997,5.260843732799999,145.04762054847555,140.0,0.3500502868078804,0.2032,15553.337000000001,10847.70092685028,214.26525600000002,0.007570823568,1.0,0.00023334950674325228,4.879224798060022e-05,7.567353804915911e-06,0.0,34.35365676879883,32.3388557434082
J-103,51.55543518066406,27.552276611328125,53.28316116333008,-4398.300277379075,-425.04045160461067,1570.3216570121056,5.110454754399998,1.2182042183999997,5.1094547544,144.90088558322904,140.0,0.3544013410722219,0.2032,14808.312500000002,10378.36490173158,214.95568896,0.044794039444,3.0,0.0037113800644874573,0.00026835757307708263,0.00012035732652293518,0.0,33.6632194519043,31.648418426513672
J-104,78.57579803466797,82.31336212158203,86.9056167602539,-2910.497852621197,3070.6317350383324,-1451.4732537243606,2.4463878448,3.151827681600001,2.4453878448,150.0,150.0,0.25691195656048676,0.2032,9913.685000000001,6245.230206763529,197.01762984,0.0473176473,3.0,0.0012449942296370864,0.00011527373862918466,4.0374256059294567e-05,0.0,51.243896484375,48.50699234008789
J-105,156.88995361328125,151.13223266601562,157.9249267578125,-3784.862329979383,-666.4862461338901,928.0615516457708,5.175654522400001,2.413016256,5.1746545224,149.99999999999997,150.0,0.2434635712469414,0.1016,24972.630500000003,15731.771419098368,203.90303136000003,0.008832627496,1.0,0.00027224113000556827,5.692417471436784e-05,8.82858057593694e-06,0.0,44.30849838256836,41.929141998291016
J-106,73.11172485351562,47.754791259765625,100.9327621459961,-3215.884062404427,-311.9501768662423,994.1416512007825,4.158811547200001,1.3298280744000002,4.157811547200001,143.7337962280793,140.0,0.3579252098912155,0.15239999999999998,12447.533000000001,8891.167008626433,213.10793040000001,0.060566588544,3.0,0.09471338242292404,0.003564564511179924,0.002131895162165165,0.3333333333333333,35.156864166259766,32.809783935546875
J-107,130.13963317871094,91.94082641601562,136.49842834472656,-4168.861222649904,-643.8795830398587,1420.146208538269,5.324786456800002,2.1061652568,5.323786456800001,145.10617215558636,140.0,0.32067788097792504,0.15239999999999998,18763.3335,12869.872007069716,197.28539664000002,0.022081568739999998,3.0,0.0005898558883927763,1.2793026144208852e-05,1.9128592612105422e-05,0.0,51.010589599609375,48.704498291015625
J-108,65.7032470703125,83.5713119506836,126.28245544433594,-3650.2875969999905,-476.30815339011696,1174.4431460615035,4.700002235200001,1.8710187624,4.699002235200002,144.45548371847258,140.0,0.33629786214588164,0.15239999999999998,15688.608000000002,10932.916317020445,210.61103928,0.05993568658,3.0,0.040421854704618454,0.0016623190604150295,0.0013108510756865144,1.0,37.68221664428711,35.3726806640625
J-109,99.34546661376953,39.1220703125,99.34546661376953,-5021.38820963854,-465.9303178330668,1961.8926255727047,5.7158366272,0.2722318152,5.7148366271999995,145.44104300794947,140.0,0.3498111352303191,0.1016,16850.531000000003,11664.88194004895,213.6648,0.07318462782400001,3.0,0.2501801550388336,0.02704220823943615,0.015607975423336029,0.6666666666666666,35.211307525634766,33.478790283203125
J-11,55.84038543701172,59.465545654296875,65.05828857421875,2416.7354291359725,760.8336245483127,-2074.4390048784517,7.351410496000001,3.6055846608,7.350410496,150.0,150.0,0.19601129881503693,0.1016,42974.126000000004,27072.002974117284,194.24742456,0.37791027643600006,3.0,0.04502295330166817,0.0003910032392013818,0.000316131190629676,0.0,52.037994384765625,48.64360809326172
J-110,15.59809398651123,8.518966674804688,25.372474670410156,-2634.7172350373153,2745.375683875555,-922.7060091552755,1.7498439495999998,2.455283786400001,1.7488439496000001,149.99999999999997,150.0,0.2783047946407579,0.2032,6485.811500000001,4085.8052172501216,204.36166392,0.033437804092,3.0,0.06718464940786362,0.006768020335584879,0.002178749069571495,0.0,43.90253829956055,41.1660270690918
