junction,hour,y,month,date,tap_id
225,11,0.06,2026-01,2026-01-24,T1
239,15,0.25,2026-01,2026-01-20,T2
193,7,0.62,2026-01,2026-01-24,T3
173,7,0.77,2026-01,2026-01-09,T4
127,11,0.23,2026-01,2026-01-01,T5
35,7,0.72,2026-01,2026-01-19,T6
15,9,0.38,2026-01,2026-01-17,T7
139,12,0.43,2026-01,2026-01-27,T8
113,11,0.67,2026-01,2026-01-19,T9
60,16,1.26,2026-01,2026-01-19,T10
143,16,0.16,2026-01,2026-01-04,V1-1
261,16,0.57,2026-01,2026-01-15,V1-2
243,11,0.08,2026-01,2026-01-14,V1-3
225,13,0.09,2026-02,2026-02-07,T1
239,10,0.29,2026-02,2026-02-14,T2
193,10,0.65,2026-02,2026-02-09,T3
173,16,0.69,2026-02,2026-02-20,T4
127,13,0.17,2026-02,2026-02-11,T5
35,16,0.49,2026-02,2026-02-09,T6
15,9,0.29,2026-02,2026-02-03,T7
139,7,0.54,2026-02,2026-02-16,T8
113,8,0.61,2026-02,2026-02-25,T9
60,15,1.14,2026-02,2026-02-21,T10
61,7,1.2,2026-02,2026-02-27,V2-1
187,9,0.52,2026-02,2026-02-17,V2-2
263,13,0.84,2026-02,2026-02-25,V2-3
225,14,0.09,2026-03,2026-03-03,T1
239,15,0.27,2026-03,2026-03-26,T2
193,12,0.72,2026-03,2026-03-26,T3
173,10,0.63,2026-03,2026-03-27,T4
127,7,0.21,2026-03,2026-03-13,T5
35,11,0.52,2026-03,2026-03-14,T6
15,9,0.36,2026-03,2026-03-22,T7
139,10,0.11,2026-03,2026-03-20,T8
113,17,0.55,2026-03,2026-03-26,T9
60,8,1.11,2026-03,2026-03-20,T10
219,14,0.09,2026-03,2026-03-27,V3-1
267,8,0.63,2026-03,2026-03-24,V3-2
206,16,0.36,2026-03,2026-03-26,V3-3
225,16,0.1,2026-04,2026-04-07,T1
239,12,0.28,2026-04,2026-04-25,T2
193,15,0.58,2026-04,2026-04-27,T3
173,9,0.67,2026-04,2026-04-18,T4
127,11,0.24,2026-04,2026-04-19,T5
35,7,0.7,2026-04,2026-04-05,T6
15,13,0.26,2026-04,2026-04-26,T7
139,14,0.17,2026-04,2026-04-03,T8
113,15,0.63,2026-04,2026-04-25,T9
60,17,1.29,2026-04,2026-04-14,T10
269,16,0.69,2026-04,2026-04-18,V4-1
184,10,0.49,2026-04,2026-04-24,V4-2
161,17,0.58,2026-04,2026-04-21,V4-3
225,8,0.09,2026-05,2026-05-04,T1
239,15,0.21,2026-05,2026-05-16,T2
193,15,0.55,2026-05,2026-05-22,T3
173,12,0.53,2026-05,2026-05-08,T4
127,12,0.16,2026-05,2026-05-23,T5
35,14,0.47,2026-05,2026-05-26,T6
15,7,0.28,2026-05,2026-05-15,T7
139,7,0.24,2026-05,2026-05-23,T8
113,16,0.51,2026-05,2026-05-11,T9
60,17,1.14,2026-05,2026-05-02,T10
121,15,0.72,2026-05,2026-05-12,V5-1
257,8,0.58,2026-05,2026-05-01,V5-2
131,8,0.03,2026-05,2026-05-03,V5-3
225,17,0.08,2026-06,2026-06-22,T1
239,8,0.32,2026-06,2026-06-12,T2
193,7,0.62,2026-06,2026-06-12,T3
173,11,0.47,2026-06,2026-06-14,T4
127,17,0.64,2026-06,2026-06-01,T5
35,10,0.56,2026-06,2026-06-14,T6
15,16,0.22,2026-06,2026-06-05,T7
139,12,0.14,2026-06,2026-06-16,T8
113,17,0.53,2026-06,2026-06-02,T9
60,9,1.09,2026-06,2026-06-08,T10
184,15,0.52,2026-06,2026-06-15,V6-1
143,17,0.32,2026-06,2026-06-26,V6-2
267,15,0.66,2026-06,2026-06-27,V6-3
