model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,random,3,0,0.0858718027221783,0.05701820559217406,0.5,1.0,0.6666666666666666,2,0.96875,0.84375,0.96875,0.96875,0.1,0.3,0.5,0.85,0.9,1.1,1.0
simgp_core_nogp,random,3,0,0.08897584244174656,0.06673080840466898,0.5,1.0,0.6666666666666666,2,0.96875,0.6875,0.96875,0.96875,,,,,,,
simgp_core_g75,random,3,0,0.09717986588513075,0.07481350774828649,0.3333333333333333,0.5,0.4,2,0.9375,0.46875,0.875,0.9375,,,,,,,
physgp_core,random,3,0,1.869353693783843,0.7796806774116726,0.06666666666666667,0.5,0.11764705882352941,2,0.125,0.0625,0.0625,0.125,,,,,,,
physgp_rich,random,3,0,1.8693587567785606,0.7798574969015029,0.06666666666666667,0.5,0.11764705882352941,2,0.25,0.0625,0.1875,0.28125,,,,,,,
simgp_rich,random,3,0,0.08898740192696246,0.06683826260099167,0.5,1.0,0.6666666666666666,2,0.96875,0.8125,0.96875,0.96875,,,,,,,
pinn_rich,random,3,0,0.2246682010635113,0.15573703165904132,1.0,0.0,0.0,2,0.15625,0.03125,0.09375,0.15625,,,,,,,
mean_of_samples,random,3,0,0.23185883068426333,0.1526652236023981,1.0,0.0,0.0,2,,,,,,,,,,,
nearest_sample,random,3,0,0.23083866645030085,0.15150215239547932,1.0,0.0,0.0,2,,,,,,,,,,,
decay_only,random,3,0,1.8693587576582167,0.7798575360516578,0.06666666666666667,0.5,0.11764705882352941,2,,,,,,,,,,,
simgp_core,random,4,0,0.08666997442633954,0.05912527639395719,0.6666666666666666,1.0,0.8,2,0.967741935483871,0.7741935483870968,0.967741935483871,0.967741935483871,0.1,0.3,0.5,0.85,0.9,1.1,1.0
simgp_core_nogp,random,4,0,0.08827906572055166,0.06629439119577298,0.5,1.0,0.6666666666666666,2,0.967741935483871,0.6774193548387096,0.967741935483871,0.967741935483871,,,,,,,
simgp_core_g75,random,4,0,0.09937308395987952,0.07721572037440555,0.3333333333333333,0.5,0.4,2,0.9354838709677419,0.3548387096774194,0.8064516129032258,0.9354838709677419,,,,,,,
physgp_core,random,4,0,0.7574507005817245,0.46042159850644343,0.06666666666666667,0.5,0.11764705882352941,2,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613,,,,,,,
physgp_rich,random,4,0,0.7322222843074861,0.45223157873771097,0.06666666666666667,0.5,0.11764705882352941,2,0.3548387096774194,0.12903225806451613,0.25806451612903225,0.3548387096774194,,,,,,,
simgp_rich,random,4,0,0.08757084638760955,0.06392679618735843,0.5,1.0,0.6666666666666666,2,0.967741935483871,0.8064516129032258,0.967741935483871,0.967741935483871,,,,,,,
mean_of_samples,random,4,0,0.2358023684128504,0.15760420867312874,1.0,0.0,0.0,2,,,,,,,,,,,
nearest_sample,random,4,0,0.23568721540910886,0.1597959142564792,1.0,0.0,0.0,2,,,,,,,,,,,
decay_only,random,4,0,0.7574521607622663,0.4604373192664762,0.06666666666666667,0.5,0.11764705882352941,2,,,,,,,,,,,
simgp_core,random,5,0,0.1336483477867888,0.08990082903899874,0.5,1.0,0.6666666666666666,2,1.0,0.6333333333333333,0.9666666666666667,1.0,0.1,0.6,0.0,1.15,0.9,0.9,1.0
simgp_core_nogp,random,5,0,0.0652417326386579,0.053362523015100756,0.5,1.0,0.6666666666666666,2,1.0,0.8,1.0,1.0,,,,,,,
