model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,map_kb,map_kw,map_gamma
simgp_core,random,3,0,0.13228262258939438,0.0775971297091797,0.5,0.7272727272727273,0.5925925925925926,11,0.8539325842696629,0.7,0.6,1.0
physgp_core,random,3,0,0.2731879680523319,0.21220385532597755,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.8089887640449438,,,
physgp_rich,random,3,0,0.2751656941601747,0.21626651595535942,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.8089887640449438,,,
simgp_rich,random,3,0,0.13236377277655012,0.07832261739587522,0.5,0.7272727272727273,0.5925925925925926,11,0.8651685393258427,,,
pinn_rich,random,3,0,0.19065643426321222,0.13017273261799386,1.0,0.0,0.0,11,0.42696629213483145,,,
mean_of_samples,random,3,0,0.28303875728733846,0.2274140215132697,1.0,0.0,0.0,11,,,,
nearest_sample,random,3,0,0.22785640346821656,0.17005633572011805,1.0,0.0,0.0,11,,,,
decay_only,random,3,0,0.27622606464486554,0.2189365531864007,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,,,,
simgp_core,random,4,0,0.13333979739477478,0.07955205513804951,0.5294117647058824,0.8181818181818182,0.6428571428571428,11,0.8068181818181818,0.55,0.6,1.0
physgp_core,random,4,0,0.26854546175021854,0.19801633287655876,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.6931818181818182,,,
physgp_rich,random,4,0,0.24146598303606792,0.16847995635069193,0.375,0.5454545454545454,0.4444444444444444,11,0.7272727272727273,,,
simgp_rich,random,4,0,0.13183875520451147,0.07754242085259953,0.5,0.7272727272727273,0.5925925925925926,11,0.8409090909090909,,,
mean_of_samples,random,4,0,0.28298821368550575,0.22358388167736284,1.0,0.0,0.0,11,,,,
nearest_sample,random,4,0,0.22471294589797178,0.1602012681224472,1.0,0.0,0.0,11,,,,
decay_only,random,4,0,0.25861642331366974,0.20109222011530614,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,,,,
simgp_core,random,5,0,0.10548922336709449,0.07029166594819508,1.0,1.0,1.0,11,0.735632183908046,0.1,0.6,1.0
physgp_core,random,5,0,0.20500223687869193,0.1314044393387242,1.0,0.0,0.0,11,0.8045977011494253,,,
physgp_rich,random,5,0,0.24437765116838114,0.17021387443790953,1.0,0.0,0.0,11,0.7931034482758621,,,
simgp_rich,random,5,0,0.09740935036839674,0.06285070588261162,0.8,0.36363636363636365,0.5000000000000001,11,0.8850574712643678,,,
pinn_rich,random,5,0,0.17311390998943552,0.11603985829719056,1.0,0.0,0.0,11,0.45977011494252873,,,
mean_of_samples,random,5,0,0.2845610560731367,0.226056818803432,1.0,0.0,0.0,11,,,,
nearest_sample,random,5,0,0.18088619624267901,0.1363907729238087,1.0,0.0,0.0,11,,,,
decay_only,random,5,0,0.2915354281402706,0.23581336268036018,1.0,0.0,0.0,11,,,,
simgp_core,random,6,0,0.09347336562723037,0.0646084146390812,1.0,0.8,0.888888888888889,10,0.7209302325581395,0.1,0.6,1.0
physgp_core,random,6,0,0.21485716886808906,0.1241372172195546,1.0,0.7,0.8235294117647058,10,0.7906976744186046,,,
physgp_rich,random,6,0,0.25102370178822025,0.15413771574227303,1.0,0.6,0.7499999999999999,10,0.9069767441860465,,,
simgp_rich,random,6,0,0.09013422165201004,0.06305190653331673,0.8,0.4,0.5333333333333333,10,0.813953488372093,,,
mean_of_samples,random,6,0,0.29093946468280274,0.23566898293148927,1.0,0.0,0.0,10,,,,
nearest_sample,random,6,0,0.1792514770182067,0.1329661220808469,1.0,0.3,0.4615384615384615,10,,,,
decay_only,random,6,0,0.30473150067813215,0.248116435829789,1.0,0.0,0.0,10,,,,
simgp_core,random,7,0,0.10439547733429169,0.07239371088271929,1.0,0.8,0.888888888888889,10,0.6235294117647059,0.1,0.6,1.0
physgp_core,random,7,0,0.2294554547398894,0.15310489716922246,1.0,0.7,0.8235294117647058,10,0.4470588235294118,,,
physgp_rich,random,7,0,0.24335962528407792,0.15861244285320245,1.0,0.5,0.6666666666666666,10,0.8705882352941177,,,
simgp_rich,random,7,0,0.08593433680236132,0.05813230393227356,1.0,0.4,0.5714285714285715,10,0.788235294117647,,,
mean_of_samples,random,7,0,0.28662052921492237,0.23107752521303876,1.0,0.0,0.0,10,,,,
nearest_sample,random,7,0,0.19959851869741957,0.15123869546949267,1.0,0.3,0.4615384615384615,10,,,,
decay_only,random,7,0,0.29109003009655354,0.23559697450897,1.0,0.0,0.0,10,,,,
simgp_core,random,8,0,0.10194026278793976,0.07271454602800839,1.0,0.7,0.8235294117647058,10,0.6309523809523809,0.1,0.6,1.0
physgp_core,random,8,0,0.22986659630560793,0.15314878943339544,1.0,0.7,0.8235294117647058,10,0.4880952380952381,,,
physgp_rich,random,8,0,0.2290264452759046,0.14275149238575344,1.0,0.6,0.7499999999999999,10,0.8214285714285714,,,
simgp_rich,random,8,0,0.0878012993021829,0.0586631580461228,1.0,0.4,0.5714285714285715,10,0.75,,,
pinn_rich,random,8,0,0.1626062377606696,0.10720378277183906,1.0,0.3,0.4615384615384615,10,0.5357142857142857,,,
mean_of_samples,random,8,0,0.2935651425811868,0.23725799956109678,1.0,0.0,0.0,10,,,,
nearest_sample,random,8,0,0.20014365658267333,0.15049258554172887,1.0,0.3,0.4615384615384615,10,,,,
decay_only,random,8,0,0.30691280788082553,0.24919512426726462,1.0,0.0,0.0,10,,,,
simgp_core,random,9,0,0.10325663112529722,0.07340465665383969,1.0,0.7,0.8235294117647058,10,0.6385542168674698,0.1,0.6,1.0
physgp_core,random,9,0,0.23212191227770335,0.1574388104942257,1.0,0.7,0.8235294117647058,10,0.3614457831325301,,,
physgp_rich,random,9,0,0.22955314137490423,0.14781059360443552,1.0,0.6,0.7499999999999999,10,0.8072289156626506,,,
simgp_rich,random,9,0,0.08633588815778298,0.055986175854135824,1.0,0.4,0.5714285714285715,10,0.7831325301204819,,,
mean_of_samples,random,9,0,0.29175687801289246,0.23536698402939787,1.0,0.0,0.0,10,,,,
nearest_sample,random,9,0,0.20460304809248755,0.1556491937880782,1.0,0.3,0.4615384615384615,10,,,,
decay_only,random,9,0,0.29979617001009917,0.2428292834784834,1.0,0.0,0.0,10,,,,
simgp_core,random,10,0,0.07965971494957431,0.055524600414187636,0.8888888888888888,0.8,0.8421052631578948,10,0.7682926829268293,0.1,0.6,1.0
physgp_core,random,10,0,0.22521877800420542,0.14751613654999798,1.0,0.7,0.8235294117647058,10,0.6585365853658537,,,
physgp_rich,random,10,0,0.23784054104890162,0.14830754246165095,1.0,0.6,0.7499999999999999,10,0.8292682926829268,,,
simgp_rich,random,10,0,0.0837704728388315,0.06444413897774086,0.8571428571428571,0.6,0.7058823529411764,10,0.6707317073170732,,,
pinn_rich,random,10,0,0.16601810133137207,0.11027442732760284,1.0,0.4,0.5714285714285715,10,0.5121951219512195,,,
mean_of_samples,random,10,0,0.2950919713953897,0.2393538536080746,1.0,0.0,0.0,10,,,,
nearest_sample,random,10,0,0.20414077074642237,0.15383575403806882,1.0,0.3,0.4615384615384615,10,,,,
decay_only,random,10,0,0.3027289384726314,0.24668646180602377,1.0,0.0,0.0,10,,,,
simgp_core,random,11,0,0.08476912287907355,0.05978502542543567,0.875,0.7,0.7777777777777777,10,0.7407407407407407,0.1,0.6,1.0
physgp_core,random,11,0,0.1798205949330122,0.12174618732352394,0.7,0.7,0.7,10,0.5925925925925926,,,
physgp_rich,random,11,0,0.23925803844133825,0.15252926726366986,1.0,0.6,0.7499999999999999,10,0.7901234567901234,,,
simgp_rich,random,11,0,0.0857307792517069,0.05891109498313128,1.0,0.2,0.33333333333333337,10,0.8024691358024691,,,
