model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,random,3,0,0.08026844237824901,0.05236047607944875,0.9069767441860465,0.8227848101265823,0.8628318584070797,237,0.9864016736401674,0.8901673640167364,0.9790794979079498,0.9905857740585774,0.4,0.3,0.5,1.0,0.9,0.9,0.8227848101265823
simgp_core_nogp,random,3,0,0.08037403593508066,0.052525242725587534,0.9069767441860465,0.8227848101265823,0.8628318584070797,237,0.9864016736401674,0.8859832635983264,0.9790794979079498,0.9905857740585774,,,,,,,
simgp_core_g75,random,3,0,0.1099029432291227,0.06547819882318494,0.739413680781759,0.9578059071729957,0.8345588235294117,237,0.8242677824267782,0.5460251046025104,0.7552301255230126,0.8765690376569037,,,,,,,
physgp_core,random,3,0,0.39078690143186895,0.32154007842028437,1.0,0.0,0.0,237,0.09728033472803348,0.032426778242677826,0.07217573221757322,0.12761506276150628,,,,,,,
physgp_rich,random,3,0,0.3957906433625185,0.3261572988903043,1.0,0.0,0.0,237,0.18514644351464435,0.07426778242677824,0.14435146443514643,0.2102510460251046,,,,,,,
simgp_rich,random,3,0,0.08037336817274086,0.052524375297704144,0.9069767441860465,0.8227848101265823,0.8628318584070797,237,0.9864016736401674,0.893305439330544,0.9790794979079498,0.9905857740585774,,,,,,,
pinn_rich,random,3,0,0.33311872745641713,0.2638599461342471,1.0,0.0,0.0,237,0.1506276150627615,0.051255230125523014,0.11820083682008369,0.1809623430962343,,,,,,,
mean_of_samples,random,3,0,0.3920881679631011,0.3257948868670331,1.0,0.0,0.0,237,,,,,,,,,,,
nearest_sample,random,3,0,0.35331066845384806,0.28394251793992187,1.0,0.0,0.0,237,,,,,,,,,,,
decay_only,random,3,0,0.3999426337845852,0.3313030773072517,1.0,0.0,0.0,237,,,,,,,,,,,
simgp_core,random,4,0,0.07691965067154986,0.050603976918915695,0.9365079365079365,0.75,0.8329411764705882,236,0.9832460732984293,0.8010471204188482,0.9738219895287958,0.9863874345549738,0.25,0.6,0.5,1.0,1.1,0.9,0.7510548523206751
simgp_core_nogp,random,4,0,0.07832281820136687,0.05256590016961562,0.9246231155778895,0.7796610169491526,0.8459770114942529,236,0.9832460732984293,0.8073298429319372,0.9717277486910995,0.9853403141361257,,,,,,,
simgp_core_g75,random,4,0,0.11117421160100774,0.07610134105284581,0.8058252427184466,0.7033898305084746,0.751131221719457,236,0.6774869109947644,0.3842931937172775,0.6167539267015707,0.7486910994764397,,,,,,,
physgp_core,random,4,0,0.32794187223613536,0.22238541596982273,0.688034188034188,0.6822033898305084,0.6851063829787234,236,0.1581151832460733,0.06806282722513089,0.1225130890052356,0.19581151832460733,,,,,,,
physgp_rich,random,4,0,0.32535781108845296,0.22234843272633717,0.6866952789699571,0.6779661016949152,0.6823027718550106,236,0.23350785340314137,0.08900523560209424,0.17591623036649215,0.2931937172774869,,,,,,,
simgp_rich,random,4,0,0.07754384536827892,0.05161529774449019,0.9246231155778895,0.7796610169491526,0.8459770114942529,236,0.9832460732984293,0.8219895287958116,0.9738219895287958,0.9853403141361257,,,,,,,
mean_of_samples,random,4,0,0.3453021133630472,0.2622320627611744,1.0,0.0,0.0,236,,,,,,,,,,,
nearest_sample,random,4,0,0.34002985616784426,0.265581099019184,0.5035971223021583,0.2966101694915254,0.37333333333333335,236,,,,,,,,,,,
decay_only,random,4,0,0.32456842299542227,0.22302699844141793,0.6866952789699571,0.6779661016949152,0.6823027718550106,236,,,,,,,,,,,
simgp_core,random,5,0,0.08945387007609384,0.0616075636785831,0.9444444444444444,0.6483050847457628,0.7688442211055276,236,0.9528301886792453,0.7452830188679245,0.9035639412997903,0.980083857442348,0.55,0.1,0.5,1.15,0.9,0.95,0.6497890295358649
