route,K,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,recall_min_all,precision_min_all,f1_min_all
optimised,5,0,0.04943811600900813,0.8260869565217391,1.0,0.9047619047619047,19,1.0,0.5,0.9666666666666667,1.0,0.1656028958074588,0.75,1.0,1.0,0.8,0.888888888888889
highest_demand,5,0,0.04538948039019111,0.85,1.0,0.9189189189189189,17,1.0,0.7,0.9333333333333333,1.0,0.08845904184258964,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
random,5,0,0.039077967133180874,0.8260869565217391,1.0,0.9047619047619047,19,1.0,0.7,0.9333333333333333,1.0,0.05899098177620626,1.0,1.0,1.0,0.7692307692307693,0.8695652173913044
optimised,8,0,0.06582128543945306,0.8095238095238095,1.0,0.8947368421052632,17,0.9629629629629629,0.4444444444444444,0.7777777777777778,0.9629629629629629,0.046868706114822134,1.0,1.0,1.0,0.6896551724137931,0.8163265306122449
highest_demand,8,0,0.06392440776597015,0.75,1.0,0.8571428571428571,15,0.8888888888888888,0.4074074074074074,0.7037037037037037,0.9629629629629629,0.1084327287322876,1.0,1.0,1.0,0.7142857142857143,0.8333333333333333
random,8,0,0.038580035351927264,0.7894736842105263,1.0,0.8823529411764706,15,0.9259259259259259,0.6296296296296297,0.8518518518518519,0.9629629629629629,0.10531496272425127,1.0,0.8148148148148148,1.0,0.7692307692307693,0.8695652173913044
optimised,12,0,0.04124786460541788,0.875,1.0,0.9333333333333333,14,0.8260869565217391,0.2608695652173913,0.6956521739130435,0.9130434782608695,0.05017648396600764,1.0,0.9565217391304348,1.0,0.7692307692307693,0.8695652173913044
highest_demand,12,0,0.03709257424448205,0.9285714285714286,0.9285714285714286,0.9285714285714286,14,0.9130434782608695,0.6521739130434783,0.782608695652174,0.9565217391304348,0.13513284268053022,1.0,0.8260869565217391,0.95,0.8260869565217391,0.8837209302325583
random,12,0,0.042039831463496914,0.9411764705882353,1.0,0.9696969696969697,16,0.9565217391304348,0.5652173913043478,0.9130434782608695,1.0,0.07254624418962562,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
optimised,5,1,0.14365607813450182,0.6666666666666666,1.0,0.8,16,0.2,0.03333333333333333,0.16666666666666666,0.26666666666666666,0.2470498345678718,0.8,0.8333333333333334,1.0,0.7241379310344828,0.8400000000000001
highest_demand,5,1,0.06365907389505572,0.6818181818181818,0.8823529411764706,0.7692307692307693,17,0.8,0.36666666666666664,0.5,0.9333333333333333,0.08885355431820403,0.8333333333333334,0.9666666666666667,0.9047619047619048,0.7037037037037037,0.7916666666666667
random,5,1,0.04716602900551517,0.7142857142857143,0.8823529411764706,0.7894736842105262,17,0.9666666666666667,0.5333333333333333,0.8666666666666667,0.9666666666666667,0.15869892518152964,0.6,0.9333333333333333,0.9047619047619048,0.7307692307692307,0.8085106382978723
optimised,8,1,0.0744868999313489,0.7142857142857143,1.0,0.8333333333333333,15,0.7777777777777778,0.3333333333333333,0.6296296296296297,0.8518518518518519,0.11297152561377119,0.8,0.8888888888888888,1.0,0.7241379310344828,0.8400000000000001
highest_demand,8,1,0.058641554713800975,0.6842105263157895,0.9285714285714286,0.7878787878787878,14,1.0,0.7037037037037037,1.0,1.0,0.07640556958473331,1.0,1.0,0.9523809523809523,0.7407407407407407,0.8333333333333334
random,8,1,0.055672176112122565,0.7368421052631579,0.9333333333333333,0.8235294117647058,15,0.8888888888888888,0.48148148148148145,0.8888888888888888,0.9259259259259259,0.08183712819614158,0.6666666666666666,0.9629629629629629,0.9047619047619048,0.7916666666666666,0.8444444444444444
optimised,12,1,0.19570894243130865,0.7647058823529411,1.0,0.8666666666666666,13,0.391304347826087,0.043478260869565216,0.2608695652173913,0.43478260869565216,0.23030269940455683,0.8,0.9130434782608695,1.0,0.7241379310344828,0.8400000000000001
highest_demand,12,1,0.06415059450871657,0.75,0.9230769230769231,0.8275862068965517,13,0.8260869565217391,0.391304347826087,0.7391304347826086,0.9130434782608695,0.07908170996090205,0.75,1.0,0.9047619047619048,0.7307692307692307,0.8085106382978723
random,12,1,0.04646506514559241,0.6842105263157895,0.9285714285714286,0.7878787878787878,14,0.9130434782608695,0.34782608695652173,0.6521739130434783,0.9565217391304348,0.09735330871692206,0.75,0.9130434782608695,0.9047619047619048,0.7307692307692307,0.8085106382978723
optimised,5,2,0.0645709837435944,0.75,1.0,0.8571428571428571,9,1.0,0.5333333333333333,0.9,1.0,0.13781604662729216,1.0,0.8333333333333334,1.0,0.6923076923076923,0.8181818181818181
highest_demand,5,2,0.07749693980252334,0.6153846153846154,1.0,0.761904761904762,8,0.9333333333333333,0.5666666666666667,0.7666666666666667,0.9666666666666667,0.1021146728743889,1.0,0.9666666666666667,1.0,0.6428571428571429,0.782608695652174
random,5,2,0.07074694854101521,0.6363636363636364,1.0,0.7777777777777778,7,1.0,0.6666666666666666,0.9333333333333333,1.0,0.10576833048922758,1.0,1.0,1.0,0.6923076923076923,0.8181818181818181
optimised,8,2,0.06759318081908032,0.7272727272727273,1.0,0.8421052631578948,8,1.0,0.4444444444444444,0.7777777777777778,1.0,0.12944142297228844,1.0,0.6666666666666666,1.0,0.6923076923076923,0.8181818181818181
highest_demand,8,2,0.09687893278928345,0.5,1.0,0.6666666666666666,7,0.6666666666666666,0.2962962962962963,0.5185185185185185,0.8148148148148148,0.19099701413416958,1.0,0.7777777777777778,1.0,0.45,0.6206896551724138
random,8,2,0.07759204575234115,0.6666666666666666,1.0,0.8,6,0.8888888888888888,0.5555555555555556,0.8888888888888888,0.9259259259259259,0.13176002253439636,1.0,0.9259259259259259,1.0,0.6923076923076923,0.8181818181818181
optimised,12,2,0.1581407910329836,0.5555555555555556,0.7142857142857143,0.6250000000000001,7,0.6956521739130435,0.2608695652173913,0.4782608695652174,0.7391304347826086,0.07619725755398309,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715
highest_demand,12,2,0.07749765275992587,0.6,1.0,0.7499999999999999,6,0.782608695652174,0.43478260869565216,0.5652173913043478,0.8260869565217391,0.08178112806150951,1.0,0.9565217391304348,1.0,0.6,0.7499999999999999
random,12,2,0.048571273419631494,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,1.0,0.6521739130434783,0.8260869565217391,1.0,0.1372580279636919,1.0,0.782608695652174,0.6666666666666666,0.75,0.7058823529411765
optimised,5,3,0.06232576909682651,0.3333333333333333,1.0,0.5,3,1.0,0.6333333333333333,1.0,1.0,0.1041184322541817,0.0,0.9666666666666667,1.0,0.3333333333333333,0.5
highest_demand,5,3,0.07006300809482442,0.3,1.0,0.4615384615384615,3,0.9666666666666667,0.4666666666666667,0.8333333333333334,0.9666666666666667,0.10762775047593172,0.0,0.9666666666666667,1.0,0.2727272727272727,0.42857142857142855
random,5,3,0.06505526376819797,0.3333333333333333,1.0,0.5,3,1.0,0.6333333333333333,1.0,1.0,0.08105283767066142,0.0,1.0,1.0,0.3,0.4615384615384615
optimised,8,3,0.05398191472388195,0.6,1.0,0.7499999999999999,3,1.0,0.6296296296296297,1.0,1.0,0.10166950260446607,0.0,0.9629629629629629,1.0,0.6,0.7499999999999999
highest_demand,8,3,0.052315293604317026,0.6,1.0,0.7499999999999999,3,1.0,0.7407407407407407,1.0,1.0,0.08053262118907702,0.0,1.0,1.0,0.6,0.7499999999999999
random,8,3,0.0525722931165233,0.75,1.0,0.8571428571428571,3,1.0,0.6296296296296297,0.9629629629629629,1.0,0.08156181971199125,0.0,1.0,1.0,0.75,0.8571428571428571
