route,K,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,recall_min_all,precision_min_all,f1_min_all
optimised,5,0,0.04118574235586721,0.8639798488664987,0.9744318181818182,0.9158878504672897,352,0.9580712788259959,0.7987421383647799,0.9182389937106918,0.9706498951781971,0.10049900285810355,0.8994708994708994,0.9779874213836478,0.9716713881019831,0.8639798488664987,0.9146666666666667
highest_demand,5,0,0.05512809993472806,0.8162291169451074,0.9743589743589743,0.8883116883116883,351,0.9727463312368972,0.6834381551362684,0.9517819706498952,0.9821802935010482,0.1493164757400312,0.9312169312169312,0.980083857442348,0.9745042492917847,0.8171021377672208,0.8888888888888888
random,5,0,0.0564056521165535,0.9717314487632509,0.7857142857142857,0.8688783570300157,350,0.9664570230607966,0.7641509433962265,0.9475890985324947,0.9779874213836478,0.11418024854290233,0.5828877005347594,0.9570230607966457,0.7847025495750708,0.9685314685314685,0.86697965571205
optimised,8,0,0.03926226934824062,0.9222222222222223,0.9485714285714286,0.9352112676056339,350,0.9621451104100947,0.8212407991587802,0.9263932702418507,0.9779179810725552,0.09494710608106897,0.9144385026737968,0.9831756046267087,0.9461756373937678,0.9226519337016574,0.9342657342657343
highest_demand,8,0,0.046481671274534495,0.8552631578947368,0.9285714285714286,0.8904109589041096,350,0.9695057833859095,0.6635120925341745,0.9400630914826499,0.9800210304942166,0.10198537801805775,0.9308510638297872,0.9894847528916929,0.9291784702549575,0.8541666666666666,0.8900949796472184
random,8,0,0.04268291530146071,0.9350282485875706,0.9484240687679083,0.9416785206258891,349,0.9663512092534174,0.8180862250262881,0.9558359621451105,0.9705573080967402,0.149935050435897,0.6968085106382979,0.9726603575184016,0.9490084985835694,0.9357541899441341,0.9423347398030942
optimised,12,0,0.044354063605778385,0.9261363636363636,0.9394812680115274,0.932761087267525,347,0.955649419218585,0.8004223864836325,0.928194297782471,0.9736008447729673,0.10632764932411044,0.8763440860215054,0.9693769799366421,0.9348441926345609,0.9269662921348315,0.9308885754583921
highest_demand,12,0,0.04034508802420524,0.8517587939698492,0.9713467048710601,0.9076305220883533,349,0.9767687434002112,0.8405491024287223,0.9662090813093981,0.9831045406546991,0.09506131973934065,0.9148936170212766,0.9883843717001056,0.9688385269121813,0.8486352357320099,0.9047619047619048
random,12,0,0.07033067207299191,0.782608695652174,0.9743589743589743,0.868020304568528,351,0.9767687434002112,0.5501583949313622,0.9535374868004224,0.9788806758183738,0.1080583761142042,0.9202127659574468,0.9873284054910243,0.9745042492917847,0.7818181818181819,0.8675914249684742
optimised,5,1,0.054943172738386434,0.9057815845824411,0.9837209302325581,0.94314381270903,430,0.9119496855345912,0.6939203354297694,0.8815513626834381,0.9444444444444444,0.2265891306830295,0.7833333333333333,0.9538784067085954,0.9839080459770115,0.9067796610169492,0.9437706725468578
highest_demand,5,1,0.07109142096866784,0.8120300751879699,1.0,0.896265560165975,432,0.9350104821802935,0.4339622641509434,0.8417190775681341,0.950733752620545,0.10111056730741397,0.9570957095709571,0.9748427672955975,1.0,0.8115671641791045,0.8959835221421215
random,5,1,0.1822710155331182,0.6962843295638126,0.9976851851851852,0.8201712654614652,432,0.9255765199161425,0.27672955974842767,0.8710691823899371,0.9412997903563941,0.11321094506457968,0.8770764119601329,0.9842767295597484,0.9977011494252873,0.6977491961414791,0.8211920529801324
optimised,8,1,0.08374265369590006,0.9232505643340858,0.955607476635514,0.939150401836969,428,0.9305993690851735,0.7455310199789695,0.8948475289169295,0.9411146161934806,0.3164256493437143,0.7090301003344481,0.8717139852786541,0.9563218390804598,0.9244444444444444,0.9401129943502825
highest_demand,8,1,0.06585238530936996,0.8557114228456913,0.9953379953379954,0.9202586206896552,429,0.9474237644584648,0.6151419558359621,0.9169295478443743,0.953732912723449,0.09891917099702788,0.9238410596026491,0.9768664563617245,0.9954022988505747,0.8574257425742574,0.9212765957446809
random,8,1,0.05674409830846096,0.9053763440860215,0.9722863741339491,0.9376391982182629,433,0.9516298633017876,0.7518401682439537,0.9390115667718192,0.953732912723449,0.10674779901923662,0.8250825082508251,0.964248159831756,0.9724137931034482,0.9057815845824411,0.9379157427937915
optimised,12,1,0.17795104969334302,0.5994277539341917,0.9882075471698113,0.7462154942119322,424,0.7159450897571278,0.38753959873284055,0.6114044350580782,0.791974656810982,0.2822880713441694,0.8440677966101695,0.9609292502639916,0.9862068965517241,0.6050775740479548,0.75
highest_demand,12,1,0.058179236301031015,0.8860759493670886,0.9836065573770492,0.932297447280799,427,0.9524815205913411,0.7529039070749736,0.9472016895459345,0.9545934530095037,0.1016644028395456,0.8708609271523179,0.9778247096092925,0.9816091954022989,0.8858921161825726,0.931297709923664
random,12,1,0.088772546028038,0.7757685352622061,1.0,0.8737270875763747,429,0.8130939809926082,0.40549102428722283,0.7022175290390708,0.8891235480464625,0.10849647089952183,0.9667774086378738,0.9440337909186906,1.0,0.7754010695187166,0.8734939759036144
