model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,random,3,0,0.0956855525923581,0.6538461538461539,1.0,0.7906976744186047,17,1.0,0.25,0.875,1.0,0.11054601429962732,0.6666666666666666,1.0,0.25,0.6,0.5,0.85,1.1,1.1
simgp24_g75,random,3,0,0.22858228507695297,0.6296296296296297,1.0,0.7727272727272727,17,0.34375,0.0,0.125,0.71875,,,,,,,,,
simgp_timeblind,random,3,0,0.18079826279717112,1.0,0.11764705882352941,0.21052631578947367,17,0.625,,,,0.33089528747543107,0.0,0.375,,,,,,
mean_of_samples,random,3,0,0.24502506528636323,1.0,0.0,0.0,17,0.0,,,,0.3509386491930367,0.0,0.0,,,,,,
simgp24,random,4,0,0.06740818519460355,0.8333333333333334,0.9375,0.8823529411764706,16,1.0,0.7741935483870968,0.967741935483871,1.0,0.2164528576394509,0.6666666666666666,1.0,0.55,0.1,0.0,0.85,1.1,0.9
simgp24_g75,random,4,0,0.2237038476128061,0.64,1.0,0.7804878048780487,16,0.0967741935483871,0.0,0.06451612903225806,0.3870967741935484,,,,,,,,,
simgp_timeblind,random,4,0,0.1689667826261351,0.8333333333333334,0.3125,0.45454545454545453,16,0.7419354838709677,,,,0.3606594830185004,0.0,0.3225806451612903,,,,,,
mean_of_samples,random,4,0,0.2258109237630888,1.0,0.0,0.0,16,0.0,,,,0.3898877052838774,0.0,0.0,,,,,,
simgp24,random,5,0,0.5210646077753602,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,0.7666666666666667,0.43333333333333335,0.6333333333333333,0.8,1.046289151037262,0.3333333333333333,0.6333333333333333,0.25,0.1,1.0,1.15,1.1,0.9
simgp24_g75,random,5,0,0.047666423573829116,1.0,0.9333333333333333,0.9655172413793104,15,0.9333333333333333,0.7333333333333333,0.8666666666666667,1.0,,,,,,,,,
simgp_timeblind,random,5,0,0.1627982921409937,1.0,0.13333333333333333,0.23529411764705882,15,0.7333333333333333,,,,0.34147522462249275,0.0,0.36666666666666664,,,,,,
mean_of_samples,random,5,0,0.2333093012985402,1.0,0.0,0.0,15,0.0,,,,0.38038062647232407,0.0,0.0,,,,,,
simgp24,random,6,0,0.12654091082958469,0.9166666666666666,0.7333333333333333,0.8148148148148148,15,0.8620689655172413,0.5172413793103449,0.7931034482758621,0.896551724137931,0.08121254018942375,0.3333333333333333,1.0,0.1,0.3,0.5,1.15,1.0,0.95
simgp24_g75,random,6,0,0.03869410570879285,1.0,0.9333333333333333,0.9655172413793104,15,1.0,0.6896551724137931,0.8620689655172413,1.0,,,,,,,,,
simgp_timeblind,random,6,0,0.21660077989664198,1.0,0.06666666666666667,0.125,15,0.3448275862068966,,,,0.2961994497108016,0.0,0.27586206896551724,,,,,,
