model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma
simgp24,random,3,0,0.06579356914733331,1.0,0.8292682926829268,0.9066666666666667,41,0.8651685393258427,0.12380433829440182,0.4838709677419355,0.9101123595505618,0.1,0.6,1.0
simgp_timeblind,random,3,0,0.2897584414418338,1.0,0.24390243902439024,0.39215686274509803,41,0.24719101123595505,0.2278001003176365,0.25806451612903225,0.48314606741573035,,,
mean_of_samples,random,3,0,0.5528490581595961,1.0,0.0,0.0,41,0.0,0.4893274363036794,0.0,0.0,,,
simgp24,random,4,0,0.059938789837034503,1.0,0.8292682926829268,0.9066666666666667,41,0.6363636363636364,0.12136998161895798,0.5806451612903226,0.9090909090909091,0.1,0.6,1.0
simgp_timeblind,random,4,0,0.28167169931049235,1.0,0.24390243902439024,0.39215686274509803,41,0.14772727272727273,0.22135645019410002,0.25806451612903225,0.4659090909090909,,,
mean_of_samples,random,4,0,0.5406313534648892,1.0,0.0,0.0,41,0.0,0.47884814054912683,0.0,0.0,,,
simgp24,random,5,0,0.053871818677335086,0.9736842105263158,0.925,0.9487179487179489,40,0.8735632183908046,0.11070645045845141,0.9,0.9080459770114943,0.25,0.6,0.5
simgp_timeblind,random,5,0,0.2581068325879668,1.0,0.275,0.4313725490196079,40,0.1839080459770115,0.2001456334797071,0.3,0.42528735632183906,,,
mean_of_samples,random,5,0,0.4911816033252597,1.0,0.0,0.0,40,0.0,0.4316575317064518,0.0,0.0,,,
simgp24,random,6,0,0.14407628563608174,1.0,0.5384615384615384,0.7000000000000001,39,0.7325581395348837,0.16645814378301554,0.5172413793103449,0.8488372093023255,0.1,0.6,1.0
simgp_timeblind,random,6,0,0.2907069761091546,1.0,0.07692307692307693,0.14285714285714288,39,0.18604651162790697,0.23663773269939178,0.10344827586206896,0.3488372093023256,,,
mean_of_samples,random,6,0,0.48512724559178866,1.0,0.0,0.0,39,0.0,0.4253110514186066,0.0,0.0,,,
simgp24,random,7,0,0.14266347281510636,1.0,0.5384615384615384,0.7000000000000001,39,0.7294117647058823,0.15983841313242655,0.5517241379310345,0.8470588235294118,0.1,0.6,1.0
simgp_timeblind,random,7,0,0.28694212486666226,1.0,0.10256410256410256,0.18604651162790695,39,0.17647058823529413,0.23311809783747553,0.13793103448275862,0.3176470588235294,,,
mean_of_samples,random,7,0,0.4824215876012341,1.0,0.0,0.0,39,0.0,0.42289950053266173,0.0,0.0,,,
simgp24,random,8,0,0.15577972339986443,1.0,0.5,0.6666666666666666,38,0.5714285714285714,0.16916828626960614,0.4642857142857143,0.7738095238095238,0.1,0.6,1.0
simgp_timeblind,random,8,0,0.2896808135255561,1.0,0.07894736842105263,0.14634146341463414,38,0.05952380952380952,0.23650474892839762,0.10714285714285714,0.2857142857142857,,,
mean_of_samples,random,8,0,0.43469365203051086,1.0,0.0,0.0,38,0.0,0.3801796468915693,0.0,0.0,,,
simgp24,random,9,0,0.15635236998895072,1.0,0.5135135135135135,0.6785714285714285,37,0.5301204819277109,0.17067342411246272,0.42857142857142855,0.7590361445783133,0.1,0.6,1.0
simgp_timeblind,random,9,0,0.28827476088023274,1.0,0.10810810810810811,0.1951219512195122,37,0.060240963855421686,0.23433307782249369,0.14285714285714285,0.2891566265060241,,,
mean_of_samples,random,9,0,0.41605841633590845,1.0,0.0,0.0,37,0.0,0.36426575050931115,0.0,0.0,,,
simgp24,random,10,0,0.158561184201966,1.0,0.5135135135135135,0.6785714285714285,37,0.4878048780487805,0.17187600013111184,0.42857142857142855,0.7439024390243902,0.1,0.6,1.0
simgp_timeblind,random,10,0,0.29231483559328447,1.0,0.10810810810810811,0.1951219512195122,37,0.06097560975609756,0.23929044898306456,0.14285714285714285,0.2804878048780488,,,
mean_of_samples,random,10,0,0.43274917012995134,1.0,0.0,0.0,37,0.0,0.37884014595147986,0.0,0.0,,,
simgp24,random,11,0,0.12592137419850316,0.8421052631578947,0.8888888888888888,0.8648648648648649,36,0.8271604938271605,0.12563957264076775,0.7037037037037037,0.9135802469135802,0.1,0.6,1.0
simgp_timeblind,random,11,0,0.28982955139421135,1.0,0.2777777777777778,0.4347826086956522,36,0.14814814814814814,0.23891938131246304,0.2962962962962963,0.4074074074074074,,,
mean_of_samples,random,11,0,0.39506757089920125,1.0,0.0,0.0,36,0.0,0.3469526847199475,0.0,0.0,,,
simgp24,random,12,0,0.1307148250056954,0.8461538461538461,0.9166666666666666,0.8799999999999999,36,0.8375,0.12269281261701118,0.7037037037037037,0.9125,0.1,0.6,1.0
simgp_timeblind,random,12,0,0.28649699514633153,1.0,0.2777777777777778,0.4347826086956522,36,0.15,0.2391479335912051,0.2962962962962963,0.4125,,,
mean_of_samples,random,12,0,0.3962118168652552,1.0,0.0,0.0,36,0.0,0.3491101071424296,0.0,0.0,,,
simgp24,random,13,0,0.10840104820186687,0.9666666666666667,0.8285714285714286,0.8923076923076922,35,0.7215189873417721,0.13514033408546358,0.6538461538461539,0.810126582278481,0.1,0.6,1.0
simgp_timeblind,random,13,0,0.28254468172502656,1.0,0.2,0.33333333333333337,35,0.11392405063291139,0.2322800799373158,0.23076923076923078,0.4050632911392405,,,
mean_of_samples,random,13,0,0.39664308971389284,1.0,0.0,0.0,35,0.0,0.34885628786357725,0.0,0.0,,,
simgp24,random,14,0,0.119783033080301,0.9666666666666667,0.8285714285714286,0.8923076923076922,35,0.7435897435897436,0.13270360772944187,0.6538461538461539,0.8076923076923077,0.1,0.6,1.0
simgp_timeblind,random,14,0,0.2797444076200545,1.0,0.2,0.33333333333333337,35,0.11538461538461539,0.23030097694018525,0.23076923076923078,0.41025641025641024,,,
mean_of_samples,random,14,0,0.41174207209135166,1.0,0.0,0.0,35,0.0,0.3619437917198806,0.0,0.0,,,
simgp24,random,15,0,0.10927471139518553,0.9666666666666667,0.8285714285714286,0.8923076923076922,35,0.6493506493506493,0.1338123273436444,0.6538461538461539,0.8051948051948052,0.1,0.6,1.0
simgp_timeblind,random,15,0,0.281943058290271,1.0,0.2,0.33333333333333337,35,0.09090909090909091,0.23196165725276158,0.23076923076923078,0.37662337662337664,,,
mean_of_samples,random,15,0,0.44207543057778054,1.0,0.0,0.0,35,0.0,0.3868922245987236,0.0,0.0,,,
simgp24,uncertainty,3,0,0.06579356914733331,1.0,0.8292682926829268,0.9066666666666667,41,0.8651685393258427,0.12380433829440182,0.4838709677419355,0.9101123595505618,0.1,0.6,1.0
simgp24,uncertainty,4,0,0.17942951197177504,1.0,0.275,0.4313725490196079,40,0.36363636363636365,0.1870502811686356,0.06666666666666667,0.6818181818181818,0.1,0.3,1.0
simgp24,uncertainty,5,0,0.14316926643634326,1.0,0.5384615384615384,0.7000000000000001,39,0.6666666666666666,0.16502162317926258,0.6206896551724138,0.7586206896551724,0.1,0.6,1.0
simgp24,uncertainty,6,0,0.10828173204438789,1.0,0.6923076923076923,0.8181818181818181,39,0.7558139534883721,0.15019435445458237,0.4827586206896552,0.8488372093023255,0.1,0.6,1.0
simgp24,uncertainty,7,0,0.0835488219473502,0.8918918918918919,0.868421052631579,0.88,38,0.8235294117647058,0.14912913017299115,0.4642857142857143,0.8823529411764706,0.7,0.6,1.0
simgp24,uncertainty,8,0,0.0981385121512349,0.8823529411764706,0.8108108108108109,0.8450704225352113,37,0.7619047619047619,0.16120336778506822,0.4444444444444444,0.8333333333333334,0.7,0.6,1.0
simgp24,uncertainty,9,0,0.10795226632504537,0.8823529411764706,0.8333333333333334,0.8571428571428571,36,0.7590361445783133,0.16365524770364862,0.34615384615384615,0.8313253012048193,0.1,1.0,1.0
simgp24,uncertainty,10,0,0.09704726990710193,0.8378378378378378,0.8857142857142857,0.8611111111111112,35,0.6829268292682927,0.11528388191742532,0.36,0.8658536585365854,0.1,0.6,1.0
simgp24,uncertainty,11,0,0.10462799204178899,0.8333333333333334,0.8823529411764706,0.8571428571428571,34,0.6790123456790124,0.11511126026610391,0.4166666666666667,0.8395061728395061,0.1,0.6,1.0
simgp24,uncertainty,12,0,0.15150453545663578,0.7575757575757576,0.7575757575757576,0.7575757575757576,33,0.5,0.15173079053879812,0.625,0.475,0.1,0.6,1.0
simgp24,uncertainty,13,0,0.10612106482009317,0.8235294117647058,0.8484848484848485,0.8358208955223881,33,0.6962025316455697,0.12628408914708283,0.4166666666666667,0.7974683544303798,0.1,0.6,1.0
simgp24,uncertainty,14,0,0.107594317212853,0.8235294117647058,0.8484848484848485,0.8358208955223881,33,0.6923076923076923,0.12680540078483002,0.4166666666666667,0.7948717948717948,0.1,0.6,1.0
simgp24,uncertainty,15,0,0.10958176685892801,0.8125,0.8125,0.8125,32,0.6753246753246753,0.12856787456465943,0.4166666666666667,0.7922077922077922,0.1,0.6,1.0
simgp24,straddle,3,0,0.06579356914733331,1.0,0.8292682926829268,0.9066666666666667,41,0.8651685393258427,0.12380433829440182,0.4838709677419355,0.9101123595505618,0.1,0.6,1.0
simgp24,straddle,4,0,0.05817025812253144,1.0,0.875,0.9333333333333333,40,0.7727272727272727,0.1159404003137041,0.7333333333333333,0.8522727272727273,0.7,0.3,1.0
simgp24,straddle,5,0,0.0559302707402569,1.0,0.8717948717948718,0.9315068493150686,39,0.5862068965517241,0.11445288096713489,0.8620689655172413,0.7931034482758621,0.4,0.6,1.0
simgp24,straddle,6,0,0.14193493365742907,1.0,0.6578947368421053,0.7936507936507937,38,0.7674418604651163,0.18640347182038908,0.5714285714285714,0.813953488372093,0.4,0.6,1.0
simgp24,straddle,7,0,0.11116437839541095,0.9642857142857143,0.7297297297297297,0.8307692307692307,37,0.7647058823529411,0.1490871622140611,0.5925925925925926,0.8470588235294118,0.1,0.6,1.0
simgp24,straddle,8,0,0.1202294427844975,0.9615384615384616,0.6944444444444444,0.8064516129032258,36,0.7619047619047619,0.15265761265742722,0.5555555555555556,0.8571428571428571,0.1,0.6,1.0
simgp24,straddle,9,0,0.12338020796393528,0.96,0.6857142857142857,0.7999999999999999,35,0.7349397590361446,0.1545426761936938,0.5769230769230769,0.8072289156626506,0.1,0.6,1.0
simgp24,straddle,10,0,0.17636287443824608,1.0,0.5294117647058824,0.6923076923076924,34,0.3902439024390244,0.19968501413777318,0.46153846153846156,0.5609756097560976,0.1,0.6,1.0
simgp24,straddle,11,0,0.18069710314294482,1.0,0.48484848484848486,0.653061224489796,33,0.35802469135802467,0.2015981116747402,0.48,0.4691358024691358,0.1,0.6,1.0
simgp24,straddle,12,0,0.13845725872251335,1.0,0.53125,0.6938775510204082,32,0.475,0.17711811116891796,0.52,0.625,0.1,0.6,1.0
simgp24,straddle,13,0,0.1232577172151273,0.9565217391304348,0.7096774193548387,0.8148148148148149,31,0.6835443037974683,0.14272460663961736,0.5833333333333334,0.8481012658227848,0.1,0.6,1.0
simgp24,straddle,14,0,0.14704034751019301,1.0,0.5333333333333333,0.6956521739130436,30,0.7435897435897436,0.1630685424693119,0.5416666666666666,0.8333333333333334,0.1,0.6,1.0
simgp24,straddle,15,0,0.15593696450688113,1.0,0.4827586206896552,0.6511627906976745,29,0.6493506493506493,0.17858033651423807,0.5217391304347826,0.8051948051948052,0.1,0.6,1.0
simgp24,straddle_min,3,0,0.06579356914733331,1.0,0.8292682926829268,0.9066666666666667,41,0.8651685393258427,0.12380433829440182,0.4838709677419355,0.9101123595505618,0.1,0.6,1.0
simgp24,straddle_min,4,0,0.05057299864633857,1.0,0.9,0.9473684210526316,40,0.9090909090909091,0.11368805948828198,0.8666666666666667,0.8409090909090909,0.55,0.6,1.0
simgp24,straddle_min,5,0,0.06764491029458788,1.0,0.6923076923076923,0.8181818181818181,39,0.6781609195402298,0.11350294744124997,0.6896551724137931,0.7931034482758621,0.25,0.6,1.0
simgp24,straddle_min,6,0,0.06067657919071921,0.9696969696969697,0.8421052631578947,0.9014084507042254,38,0.9186046511627907,0.11222909326766446,0.8571428571428571,0.9302325581395349,0.55,0.6,1.0
simgp24,straddle_min,7,0,0.06918697241569556,0.9705882352941176,0.8918918918918919,0.9295774647887325,37,0.9294117647058824,0.11038345005850629,0.8571428571428571,0.9176470588235294,0.55,0.6,1.0
simgp24,straddle_min,8,0,0.17367732582578954,0.9,1.0,0.9473684210526316,36,0.5357142857142857,0.09324416967575855,0.9259259259259259,0.9047619047619048,0.55,0.6,1.0
simgp24,straddle_min,9,0,0.15623369506021503,0.9473684210526315,1.0,0.972972972972973,36,0.5542168674698795,0.09361165164205801,0.9259259259259259,0.8795180722891566,0.55,0.6,1.0
simgp24,straddle_min,10,0,0.08882926753300725,0.9459459459459459,0.9722222222222222,0.9589041095890412,36,0.8170731707317073,0.10672827896474563,0.9259259259259259,0.8414634146341463,0.55,0.6,1.0
simgp24,straddle_min,11,0,0.0871933921747937,0.9444444444444444,0.9714285714285714,0.9577464788732395,35,0.7654320987654321,0.10848942289256931,0.9259259259259259,0.8395061728395061,0.55,0.6,1.0
simgp24,straddle_min,12,0,0.08440964403728572,0.9714285714285714,0.9714285714285714,0.9714285714285714,35,0.775,0.10798230399833228,0.9259259259259259,0.8375,0.55,0.6,1.0
simgp24,straddle_min,13,0,0.0922585572914704,0.9705882352941176,0.9705882352941176,0.9705882352941176,34,0.7215189873417721,0.11039501051067267,0.9259259259259259,0.8354430379746836,0.55,0.6,1.0
simgp24,straddle_min,14,0,0.09492330330704006,0.9705882352941176,1.0,0.9850746268656716,33,0.7307692307692307,0.09974607857699357,0.9615384615384616,0.8717948717948718,0.55,0.6,1.0
simgp24,straddle_min,15,0,0.08540879110603121,1.0,1.0,1.0,33,0.8831168831168831,0.10681215616689593,0.9615384615384616,0.8441558441558441,0.55,0.6,1.0
simgp24,random,3,1,0.07175130403695619,0.967741935483871,0.8108108108108109,0.8823529411764706,37,0.7865168539325843,0.11298521751240005,0.6521739130434783,0.7640449438202247,0.25,0.6,0.0
simgp_timeblind,random,3,1,0.27314485318259146,1.0,0.1891891891891892,0.3181818181818182,37,0.24719101123595505,0.2316134422920942,0.17391304347826086,0.43820224719101125,,,
mean_of_samples,random,3,1,0.3373869932114434,1.0,0.0,0.0,37,0.0,0.28709354789248565,0.0,0.0,,,
simgp24,random,4,1,0.07552178914241331,0.9666666666666667,0.7837837837837838,0.8656716417910447,37,0.7045454545454546,0.10877154266164842,0.6521739130434783,0.7840909090909091,0.25,0.6,0.5
simgp_timeblind,random,4,1,0.23621684107358032,1.0,0.16216216216216217,0.27906976744186046,37,0.26136363636363635,0.1985722987846818,0.17391304347826086,0.5,,,
mean_of_samples,random,4,1,0.3835262945124863,1.0,0.0,0.0,37,0.0,0.318241351661624,0.0,0.0,,,
simgp24,random,5,1,0.07330472827661795,0.9642857142857143,0.75,0.8437499999999999,36,0.5402298850574713,0.11513877191148912,0.6363636363636364,0.5632183908045977,0.25,0.6,0.5
simgp_timeblind,random,5,1,0.2239915413643122,1.0,0.16666666666666666,0.2857142857142857,36,0.25287356321839083,0.1864922828785561,0.22727272727272727,0.4482758620689655,,,
