model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,random,3,0,0.05539053737498954,0.9697986577181208,0.8186968838526912,0.8878648233486943,353,0.9686192468619247,0.8661087866108786,0.9560669456066946,0.9780334728033473,0.11041979955762588,0.6190476190476191,0.9801255230125523,0.4,0.3,1.0,1.15,1.0,0.9
simgp24_g75,random,3,0,0.3011617541588475,1.0,0.2521246458923513,0.4027149321266968,353,0.3692468619246862,0.03347280334728033,0.19665271966527198,0.5387029288702929,,,,,,,,,
simgp_timeblind,random,3,0,0.27712889935506935,1.0,0.34560906515580736,0.5136842105263157,353,0.6684100418410042,,,,0.3710696899983904,0.5873015873015873,0.7761506276150628,,,,,,
mean_of_samples,random,3,0,0.5754936487070488,1.0,0.0,0.0,353,0.0,,,,0.5768319985865825,0.0,0.0,,,,,,
simgp24,random,4,0,0.06397069011815115,0.9719298245614035,0.7847025495750708,0.8683385579937304,353,0.9675392670157068,0.8146596858638744,0.956020942408377,0.9769633507853404,0.10940126252625597,0.582010582010582,0.981151832460733,0.25,0.6,0.0,1.0,0.9,1.1
simgp24_g75,random,4,0,0.14382825924234643,1.0,0.39943342776203966,0.5708502024291497,353,0.7832460732984293,0.09005235602094241,0.42303664921465967,0.8984293193717278,,,,,,,,,
simgp_timeblind,random,4,0,0.3356504732887502,1.0,0.28611898016997167,0.4449339207048458,353,0.4094240837696335,,,,0.3682914756499743,0.4973544973544973,0.6827225130890052,,,,,,
mean_of_samples,random,4,0,0.5239880943728992,1.0,0.0,0.0,353,0.0,,,,0.5625528875220781,0.0,0.0,,,,,,
simgp24,random,5,0,0.05042352349742745,0.9642857142857143,0.8413597733711048,0.8986384266263238,353,0.9664570230607966,0.8312368972746331,0.9475890985324947,0.9748427672955975,0.1020967720774136,0.6666666666666666,0.9779874213836478,0.4,0.3,0.5,1.15,1.1,0.95
simgp24_g75,random,5,0,0.0888539527320634,0.9959183673469387,0.6912181303116147,0.8160535117056856,353,0.8343815513626834,0.19811320754716982,0.6907756813417191,0.9046121593291404,,,,,,,,,
simgp_timeblind,random,5,0,0.36059611256139273,1.0,0.32294617563739375,0.48822269807280516,353,0.29874213836477986,,,,0.3736045759975489,0.5502645502645502,0.6415094339622641,,,,,,
mean_of_samples,random,5,0,0.4835515837923816,1.0,0.0,0.0,353,0.0,,,,0.55598720148899,0.0,0.0,,,,,,
simgp24,random,6,0,0.051279159970889804,0.9642857142857143,0.8413597733711048,0.8986384266263238,353,0.9674711437565582,0.8153200419727177,0.9538300104931794,0.974816369359916,0.1021930152620352,0.6772486772486772,0.9790136411332634,0.4,0.3,0.5,1.15,1.1,0.95
simgp24_g75,random,6,0,0.14662240321734046,0.7862068965517242,0.9688385269121813,0.8680203045685279,353,0.8835257082896117,0.4900314795383001,0.7964323189926548,0.9213011542497377,,,,,,,,,
simgp_timeblind,random,6,0,0.3534546767845015,1.0,0.29461756373937675,0.4551422319474836,353,0.24868835257082897,,,,0.38314758114814673,0.5026455026455027,0.6054564533053515,,,,,,
mean_of_samples,random,6,0,0.48667655270440546,1.0,0.0,0.0,353,0.0,,,,0.556630528076526,0.0,0.0,,,,,,
simgp24,random,7,0,0.05065676178771128,0.9648562300319489,0.8555240793201133,0.9069069069069068,353,0.9642857142857143,0.782563025210084,0.9401260504201681,0.9758403361344538,0.10157810853694071,0.6931216931216931,0.9747899159663865,0.4,0.3,0.5,1.15,1.1,0.95
simgp24_g75,random,7,0,0.14939285822706744,0.7560975609756098,0.9660056657223796,0.8482587064676617,353,0.8508403361344538,0.3960084033613445,0.7216386554621849,0.9033613445378151,,,,,,,,,
simgp_timeblind,random,7,0,0.25907600967460565,1.0,0.40509915014164305,0.5766129032258065,353,0.6386554621848739,,,,0.38434941000099904,0.656084656084656,0.7331932773109243,,,,,,
mean_of_samples,random,7,0,0.46345062820938837,1.0,0.0,0.0,353,0.0,,,,0.5547418829820475,0.0,0.0,,,,,,
simgp24,random,8,0,0.047747478947156176,0.9660493827160493,0.8892045454545454,0.9260355029585797,352,0.9621451104100947,0.7896950578338591,0.9516298633017876,0.9695057833859095,0.10291812886631209,0.7195767195767195,0.9716088328075709,0.4,0.3,0.0,1.15,1.1,1.0
simgp24_g75,random,8,0,0.15177843116020914,0.7257383966244726,0.9772727272727273,0.8329297820823245,352,0.7592008412197687,0.2754994742376446,0.5814931650893796,0.8485804416403786,,,,,,,,,
simgp_timeblind,random,8,0,0.2551998635218639,1.0,0.4375,0.6086956521739131,352,0.6319663512092534,,,,0.3853487166102277,0.6984126984126984,0.7181913774973712,,,,,,
mean_of_samples,random,8,0,0.4215990999974726,1.0,0.0,0.0,352,0.0,,,,0.5552953619667601,0.0,0.0,,,,,,
simgp24,random,9,0,0.04871436499817523,0.9655172413793104,0.8774928774928775,0.9194029850746268,351,0.9652631578947368,0.8031578947368421,0.9484210526315789,0.9726315789473684,0.10230077617254087,0.7195767195767195,0.9715789473684211,0.4,0.3,0.0,1.15,1.1,1.0
simgp24_g75,random,9,0,0.15419858609977183,0.7175732217573222,0.9772079772079773,0.827503015681544,351,0.6978947368421052,0.2505263157894737,0.508421052631579,0.8105263157894737,,,,,,,,,
simgp_timeblind,random,9,0,0.8308799765200214,1.0,0.2934472934472934,0.45374449339207046,351,0.3473684210526316,,,,0.7527349129501137,0.4708994708994709,0.5957894736842105,,,,,,
mean_of_samples,random,9,0,0.4648552751216113,1.0,0.0,0.0,351,0.0,,,,0.5551975747670536,0.0,0.0,,,,,,
simgp24,random,10,0,0.05503156953531681,0.9833333333333333,0.8428571428571429,0.9076923076923077,350,0.9494204425711275,0.5974710221285564,0.9209694415173867,0.9652265542676501,0.10348818790248912,0.6507936507936508,0.9578503688092729,0.4,0.3,0.0,1.15,1.1,1.0
simgp24_g75,random,10,0,0.152304005089017,0.7230443974630021,0.9771428571428571,0.8311057108140948,350,0.6680716543730242,0.24868282402528977,0.5047418335089568,0.7903055848261328,,,,,,,,,
simgp_timeblind,random,10,0,0.6070395113995639,1.0,0.34285714285714286,0.5106382978723404,350,0.6206533192834562,,,,0.5728589521863008,0.5873015873015873,0.7787144362486829,,,,,,
mean_of_samples,random,10,0,0.42799811053779585,1.0,0.0,0.0,350,0.0,,,,0.5553230585815442,0.0,0.0,,,,,,
simgp24,random,11,0,0.06254943702397421,0.956386292834891,0.8796561604584527,0.9164179104477612,349,0.9535864978902954,0.6276371308016878,0.9082278481012658,0.9620253164556962,0.11852413210204854,0.6931216931216931,0.9556962025316456,0.4,0.6,0.5,1.15,1.1,1.05
simgp24_g75,random,11,0,0.13711951421347943,0.8901734104046243,0.8825214899713467,0.8863309352517984,349,0.8175105485232067,0.4050632911392405,0.7194092827004219,0.8744725738396625,,,,,,,,,
simgp_timeblind,random,11,0,0.5889663918214187,1.0,0.4498567335243553,0.6205533596837944,349,0.6065400843881856,,,,0.5619902713917696,0.6402116402116402,0.7626582278481012,,,,,,
mean_of_samples,random,11,0,0.39800026966338603,1.0,0.0,0.0,349,0.0,,,,0.5590010700087726,0.0,0.0,,,,,,
simgp24,random,12,0,0.0742049843745433,0.9536423841059603,0.8275862068965517,0.8861538461538463,348,0.9334741288278775,0.5448785638859557,0.8954593453009504,0.9440337909186906,0.13073301827874878,0.6063829787234043,0.9102428722280888,0.25,1.0,1.0,1.15,1.0,0.95
simgp24_g75,random,12,0,0.15656333188068156,0.6923076923076923,0.9827586206896551,0.8123515439429929,348,0.4815205913410771,0.146779303062302,0.31573389651531153,0.6114044350580782,,,,,,,,,
simgp_timeblind,random,12,0,0.6370154409324356,0.9800995024875622,0.5660919540229885,0.7176684881602914,348,0.48996832101372756,,,,0.6503826196347327,0.7074468085106383,0.6525871172122492,,,,,,
mean_of_samples,random,12,0,0.3743350356931957,1.0,0.0,0.0,348,0.0,,,,0.5647629297896939,0.0,0.0,,,,,,
simgp24,random,13,0,0.07516015500859478,0.9859154929577465,0.8045977011494253,0.8860759493670887,348,0.9186046511627907,0.5095137420718816,0.8403805496828752,0.9386892177589852,0.14479021363030628,0.574468085106383,0.8488372093023255,0.25,1.0,1.0,1.15,1.0,0.95
simgp24_g75,random,13,0,0.1528121266132156,0.6993865030674846,0.9827586206896551,0.8172043010752686,348,0.5116279069767442,0.14482029598308668,0.3308668076109937,0.6342494714587738,,,,,,,,,
simgp_timeblind,random,13,0,0.8103543105784886,1.0,0.5172413793103449,0.6818181818181819,348,0.48308668076109934,,,,0.7656373181925612,0.6968085106382979,0.6945031712473573,,,,,,
mean_of_samples,random,13,0,0.37517147227757774,1.0,0.0,0.0,348,0.0,,,,0.5648297292629058,0.0,0.0,,,,,,
simgp24,random,14,0,0.0744959852131608,0.9824561403508771,0.8069164265129684,0.8860759493670887,347,0.9195767195767196,0.5132275132275133,0.8455026455026455,0.9417989417989417,0.14392530636634934,0.5828877005347594,0.852910052910053,0.25,1.0,1.0,1.15,1.0,0.95
simgp24_g75,random,14,0,0.14813517155517525,0.7118997912317327,0.9827089337175793,0.8256658595641647,347,0.5216931216931217,0.16507936507936508,0.362962962962963,0.671957671957672,,,,,,,,,
simgp_timeblind,random,14,0,0.827154584342592,1.0,0.515850144092219,0.6806083650190113,347,0.4708994708994709,,,,0.7805675432351519,0.6951871657754011,0.6751322751322751,,,,,,
mean_of_samples,random,14,0,0.3526924515086281,1.0,0.0,0.0,347,0.0,,,,0.5733251839134014,0.0,0.0,,,,,,
simgp24,random,15,0,0.07816526406839665,0.9621993127147767,0.8069164265129684,0.877742946708464,347,0.9163135593220338,0.4480932203389831,0.8220338983050848,0.9385593220338984,0.1335576575793258,0.5828877005347594,0.899364406779661,0.25,0.6,0.0,1.15,1.0,0.95
simgp24_g75,random,15,0,0.14295582719072397,0.7178947368421053,0.9827089337175793,0.8296836982968371,347,0.5423728813559322,0.1673728813559322,0.3686440677966102,0.6567796610169492,,,,,,,,,
simgp_timeblind,random,15,0,0.560602194696709,0.989247311827957,0.5302593659942363,0.6904315196998124,347,0.5264830508474576,,,,0.6097884751352664,0.7005347593582888,0.6800847457627118,,,,,,
mean_of_samples,random,15,0,0.3528664139805066,1.0,0.0,0.0,347,0.0,,,,0.5735373413869557,0.0,0.0,,,,,,
simgp24,uncertainty,3,0,0.05539053737498954,0.9697986577181208,0.8186968838526912,0.8878648233486943,353,0.9686192468619247,0.8661087866108786,0.9560669456066946,0.9780334728033473,0.11041979955762588,0.6190476190476191,0.9801255230125523,0.4,0.3,1.0,1.15,1.0,0.9
simgp24,uncertainty,4,0,0.049173947300196835,0.9703947368421053,0.8380681818181818,0.899390243902439,352,0.9633507853403142,0.8167539267015707,0.949738219895288,0.9706806282722513,0.10819637753038899,0.6349206349206349,0.9685863874345549,0.25,0.6,1.0,1.15,0.9,0.9
