,age_h,age_mean_h,age_max_h,emb0,emb1,emb2,dist_src_km,dist_tank_km,path_len_km,path_mean_rough,path_min_rough,path_mean_diam_m,path_min_diam_m,path_sum_L_over_D,path_wall_index,elevation_m,demand_lps,degree,inc_vel_mean_ms,inc_vel_min_ms,inc_abs_flow_m3s,inc_frac_sloshing,pressure_mean_m,pressure_min_m
10,0.0,2.2916667461395264,10.0,-1208.008329832805,6472.154486695301,8160.959569946516,0.001,8.828227199999999,0.001,130.0,130.0,0.3,0.3,0.0,0.0,44.805600000000005,0.0,2.0,0.7379478812217712,2.416835975793674e-08,0.12115123867988586,0.0,17.247821807861328,-0.6542763113975525
15,61.393802642822266,38.85899353027344,113.35879516601562,-3664.9434382772083,5812.158586951035,-3139.0105873786774,11.190207999999998,2.9364432000000007,11.189207999999999,122.26368836829204,110.0,0.3468265867611005,0.2032,35034.16666666667,40594.896625298956,9.7536,0.0630901964,1.0,0.5139285922050476,4.6185197333237227e-10,0.01666632853448391,0.0,35.90464401245117,29.22047996520996
20,104.35879516601562,59.58348083496094,112.35879516601562,-3434.041229643035,2364.6359424089383,-1215.8922362465808,8.799052,0.0301752,8.798052,120.16109475142908,110.0,0.4149179975749177,0.2032,23780.166666666664,29340.896625298952,39.3192,0.0,2.0,0.23150864243507385,0.0051547749899327755,0.09016583859920502,1.0,10.091594696044922,9.165746688842773
35,5.112118244171143,15.127665519714355,44.11272430419922,1001.7230135003629,-309.5173099761101,396.38313528053925,8.495776,0.42031920000000006,8.494776,119.80983135988517,110.0,0.3683774668101902,0.2032,25096.666666666664,30657.396625298956,3.81,0.0630901964,1.0,0.37136879563331604,0.34867164492607117,0.10838896036148071,0.0,42.51029586791992,40.993289947509766
40,9.757830619812012,33.8970832824707,83.56859588623047,1207.912151256004,-190.9735783486465,554.7997724032036,8.831055999999998,0.0301752,8.830055999999999,120.19675526406627,110.0,0.36564777355885403,0.2032,26211.666666666664,31772.396625298956,40.203120000000006,0.0,2.0,0.20199383795261383,5.7787849073065445e-05,0.02905048429965973,1.0,6.0690131187438965,4.787552356719971
50,11.004361152648926,30.540992736816406,119.0748519897461,5482.822835771162,-1488.1541655164822,-462.28736006800153,12.897057520000002,0.0301752,12.896057520000003,123.28762299130933,110.0,0.3451245613910692,0.2032,40017.01666666668,45577.746625298954,35.5092,0.0,2.0,0.09641426801681519,1.0841602488653734e-05,0.009672079235315323,1.0,7.953243732452393,6.535475254058838
60,0.06194908916950226,0.05501757562160492,0.06331352144479752,-16498.970240581526,-6806.927686872872,-8.408258429480707,0.3752088,15.866668800000001,0.3752088,140.0,140.0,0.6095999999999999,0.6095999999999999,615.5000000000001,488.5226737432135,0.0,0.0,3.0,1.3938977718353271,0.0,0.47354656457901,0.0,65.2698974609375,63.681854248046875
601,0.06202772259712219,0.7958859801292419,5.500050067901611,-16498.687531767537,-6806.777351438786,-8.414757076389426,0.3755136,15.866364,0.3755136,140.0,140.0,0.6097237012987012,0.6095999999999999,615.9000000000001,488.8401539536071,0.0,0.0,2.0,0.8127856254577637,0.0,0.3706599771976471,0.0,72.46487426757812,65.67512512207031
61,0.06210635229945183,0.05513681098818779,0.06347425282001495,-16498.40482295354,-6806.6270160047,-8.421255723281131,0.3758184,15.866059200000002,0.3758184,139.99999999999997,140.0,0.6098472019464719,0.6095999999999999,616.3000000000001,489.15763416400074,0.0,0.0,3.0,1.038395881652832,3.5295979472493855e-08,0.47354650497436523,0.0,72.46460723876953,65.67474365234375
101,0.9483956098556519,7.1710052490234375,26.760723114013672,-1646.9219634210974,1943.4558549608366,2736.7628468431,4.32916,4.500067199999999,4.32816,110.0,110.0,0.4572,0.4572,9466.666666666666,15027.396625298952,12.8016,11.98398280618,3.0,0.6853618025779724,2.416835975793674e-08,0.08240413665771484,0.3333333333333333,38.25908279418945,31.349721908569336
103,1.0828672647476196,8.220911979675293,26.372060775756836,-1286.105454780994,1944.8513302694264,2935.4989137971297,4.740639999999999,4.4284392,4.73964,111.7363344051447,110.0,0.4527897106109325,0.4064,10479.166666666666,16039.896625298952,13.1064,8.40361416048,2.0,0.4945313334465027,0.005454879254102707,0.0641491562128067,0.0,37.52999496459961,31.0396671295166
105,1.1320300102233887,7.527551651000977,25.83104133605957,-1723.8950204022908,1126.6450296747764,1734.7092638643885,5.103352,3.7258751999999995,5.102352,113.03464755077657,110.0,0.4340759856630825,0.30479999999999996,12006.666666666666,17567.396625298952,8.6868,8.540519886668001,3.0,0.5284257531166077,0.010886955074965954,0.038557037711143494,0.6666666666666666,40.54570388793945,35.8929328918457
107,1.4868519306182861,7.690602779388428,25.783443450927734,-1309.4120111174161,891.4284601222957,1643.3178184354115,5.5514079999999995,3.3098232,5.550407999999999,114.40417353102691,110.0,0.42364019769357497,0.30479999999999996,13476.666666666666,19037.396625298952,6.7056000000000004,3.447248331296,2.0,0.31900081038475037,0.00967418123036623,0.014839740470051765,0.0,42.40011215209961,37.87447738647461
109,1.5106326341629028,6.835557460784912,23.94791030883789,-1010.7891254763026,906.9876084768416,1739.541260513487,5.941552,3.2275272,5.940551999999999,115.42842483324783,110.0,0.44341180092355054,0.4064,13434.166666666666,18994.896625298952,6.1874400000000005,14.599071446960002,2.0,0.6030200719833374,0.005454879254102707,0.057124048471450806,0.0,43.41041946411133,37.96915817260742
111,1.7848278284072876,8.125460624694824,25.088666915893555,-1129.1080528987775,325.57529533144265,915.1653060639362,6.499336,2.6179272,6.498335999999999,116.67917448405254,110.0,0.39701200750469046,0.2032,17561.666666666664,23122.396625298952,3.048,8.955022477016,4.0,0.45467713475227356,0.016008026897907257,0.03317590430378914,0.0,45.05849075317383,41.51530075073242
113,2.1439616680145264,8.85525894165039,23.897619247436523,-736.2873875588828,110.72620071743151,793.200817697125,6.755368,2.1058632,6.7543679999999995,117.18411552346572,110.0,0.38434693140794224,0.2032,19401.666666666664,24962.396625298952,0.6096,1.262434829964,3.0,0.40836283564567566,0.0078105260618031025,0.025063591077923775,0.0,47.11537551879883,44.018707275390625
115,2.12553334236145,8.222892761230469,23.32525634765625,-1400.9891523374492,297.33763264023054,841.6861665185794,6.1457679999999995,2.7154632,6.144767999999999,115.91269841269843,110.0,0.4023178571428572,0.2032,16401.666666666664,21962.396625298952,4.2672,3.28699923244,4.0,0.34296441078186035,0.00967418123036623,0.017256762832403183,0.0,43.96623229980469,40.4765625
117,1.626893162727356,7.775493621826172,24.942691802978516,-2120.4696875041077,417.0717768776072,588.6878699159247,6.237208000000001,2.7352752000000002,6.236208,116.11925708699901,110.0,0.4105712609970674,0.30479999999999996,15726.666666666666,21287.396625298952,4.1452800000000005,7.426347018244,3.0,0.3635745942592621,0.06729356199502945,0.026528531685471535,0.6666666666666666,44.4337158203125,41.46061325073242
119,6.086761474609375,8.005605697631836,24.66282081604004,-2591.3139487171297,292.2764517050564,-134.89592760287042,6.886432,2.1500592000000003,6.885432,117.42806551571492,110.0,0.38982647189021696,0.2032,19054.166666666664,24614.896625298952,0.6096,11.112076291932,4.0,0.6852105855941772,0.0020548582542687654,0.2333664745092392,0.25,48.41218185424805,46.88682556152344
120,2.6330511569976807,7.53711462020874,24.746654510498047,-2695.7768405088677,426.29113926900953,186.15722142810299,6.663928,2.1652991999999998,6.662928,117.0082342177493,110.0,0.3926658737419945,0.2032,18324.166666666664,23884.896625298952,0.0,0.0,4.0,0.5009719133377075,0.0020548582542687654,0.027004914358258247,0.75,48.9388542175293,47.031944274902344
121,7.3690032958984375,7.9575514793396,24.527252197265625,-3211.090565298642,259.13838596447556,-313.8576600324764,7.288768,1.5404592,7.287768,118.12212463404431,110.0,0.37642141363446263,0.2032,21399.166666666664,26959.896625298952,-0.6096,2.626444876132,4.0,0.696651816368103,0.005537472199648619,0.2637603282928467,0.25,50.22914505004883,48.724647521972656
