model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,random,3,0,0.10471573434931848,0.06966254724931842,0.75,0.8181818181818182,0.7826086956521738,11,1.0,0.7752808988764045,0.9887640449438202,1.0,0.7,0.6,1.0,1.15,1.0,1.0,0.8181818181818182
simgp_core_nogp,random,3,0,0.10475378756960495,0.0702288631745637,0.75,0.8181818181818182,0.7826086956521738,11,1.0,0.6966292134831461,0.9887640449438202,1.0,,,,,,,
simgp_core_g75,random,3,0,0.1323201067225246,0.07763028158385421,0.5,0.7272727272727273,0.5925925925925926,11,0.8539325842696629,0.7640449438202247,0.8539325842696629,0.8651685393258427,,,,,,,
physgp_core,random,3,0,0.27479301340141943,0.21668468567695287,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.4157303370786517,0.11235955056179775,0.25842696629213485,0.5393258426966292,,,,,,,
physgp_rich,random,3,0,0.2751423790515642,0.21623995049442776,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.8089887640449438,0.47191011235955055,0.7191011235955056,0.8314606741573034,,,,,,,
simgp_rich,random,3,0,0.10518572688536383,0.07046996989878161,0.75,0.8181818181818182,0.7826086956521738,11,1.0,0.8202247191011236,0.9887640449438202,1.0,,,,,,,
pinn_rich,random,3,0,0.19503428273623669,0.12778954158469258,1.0,0.0,0.0,11,0.42696629213483145,0.1797752808988764,0.3258426966292135,0.47191011235955055,,,,,,,
mean_of_samples,random,3,0,0.28303534253481266,0.2274114340270857,1.0,0.0,0.0,11,,,,,,,,,,,
nearest_sample,random,3,0,0.22781194587807815,0.1700204044580455,1.0,0.0,0.0,11,,,,,,,,,,,
decay_only,random,3,0,0.27620533975727213,0.21891326396801009,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,,,,,,,,,,,
simgp_core,random,4,0,0.1041589741574896,0.0704186522655256,0.75,0.8181818181818182,0.7826086956521738,11,1.0,0.7840909090909091,0.9886363636363636,1.0,0.7,0.6,1.0,1.15,1.0,1.0,0.8181818181818182
simgp_core_nogp,random,4,0,0.10044953137321651,0.06679804211531447,0.7272727272727273,0.7272727272727273,0.7272727272727273,11,0.9886363636363636,0.7159090909090909,0.9886363636363636,1.0,,,,,,,
simgp_core_g75,random,4,0,0.13337739641364907,0.07956334103657929,0.5294117647058824,0.8181818181818182,0.6428571428571428,11,0.8068181818181818,0.6136363636363636,0.7613636363636364,0.8636363636363636,,,,,,,
physgp_core,random,4,0,0.2685377560249153,0.19799227423763044,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.6931818181818182,0.4431818181818182,0.6477272727272727,0.7045454545454546,,,,,,,
physgp_rich,random,4,0,0.24233318962724007,0.16884971522467893,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,0.8068181818181818,0.48863636363636365,0.7727272727272727,0.8068181818181818,,,,,,,
simgp_rich,random,4,0,0.10219735543018905,0.0681891043006812,0.7272727272727273,0.7272727272727273,0.7272727272727273,11,0.9886363636363636,0.8409090909090909,0.9886363636363636,1.0,,,,,,,
mean_of_samples,random,4,0,0.28298699930089993,0.22357553935540073,1.0,0.0,0.0,11,,,,,,,,,,,
nearest_sample,random,4,0,0.22467693008610815,0.16017435827631205,1.0,0.0,0.0,11,,,,,,,,,,,
decay_only,random,4,0,0.258606143651081,0.20106611100708027,0.3333333333333333,0.45454545454545453,0.3846153846153846,11,,,,,,,,,,,
simgp_core,random,5,0,0.06426015994611967,0.03366281300417322,1.0,0.8181818181818182,0.9,11,1.0,0.9540229885057471,0.9885057471264368,1.0,0.4,0.6,1.0,0.85,0.9,1.05,0.8181818181818182
simgp_core_nogp,random,5,0,0.07943384546246535,0.051569840231498396,1.0,0.7272727272727273,0.8421052631578948,11,0.9885057471264368,0.8045977011494253,0.9885057471264368,1.0,,,,,,,
