model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,random,3,0,0.06665111728555996,1.0,0.8292682926829268,0.9066666666666667,41,1.0,0.6067415730337079,0.9662921348314607,1.0,0.11811741343720387,0.3548387096774194,0.9550561797752809,0.25,0.6,0.0,1.15,0.9,1.0
simgp24_g75,random,3,0,0.06568904011076702,1.0,0.8292682926829268,0.9066666666666667,41,0.8651685393258427,0.39325842696629215,0.651685393258427,0.9325842696629213,,,,,,,,,
simgp_timeblind,random,3,0,0.28582811703185096,1.0,0.12195121951219512,0.21739130434782605,41,0.4157303370786517,,,,0.22355135750385383,0.16129032258064516,0.7078651685393258,,,,,,
mean_of_samples,random,3,0,0.5527296105332925,1.0,0.0,0.0,41,0.0,,,,0.4893145028098504,0.0,0.0,,,,,,
simgp24,random,4,0,0.060645988860326704,1.0,0.8292682926829268,0.9066666666666667,41,1.0,0.5795454545454546,0.9886363636363636,1.0,0.11524334091049929,0.3548387096774194,0.9545454545454546,0.25,0.6,1.0,0.85,0.9,1.1
simgp24_g75,random,4,0,0.05991890297092019,1.0,0.8292682926829268,0.9066666666666667,41,0.6477272727272727,0.375,0.5681818181818182,0.8522727272727273,,,,,,,,,
simgp_timeblind,random,4,0,0.2817830343598314,1.0,0.12195121951219512,0.21739130434782605,41,0.38636363636363635,,,,0.221044363297515,0.16129032258064516,0.5909090909090909,,,,,,
mean_of_samples,random,4,0,0.5404841081837777,1.0,0.0,0.0,41,0.0,,,,0.4788094204365695,0.0,0.0,,,,,,
simgp24,random,5,0,0.054372629130528975,1.0,0.9,0.9473684210526316,40,1.0,0.6436781609195402,1.0,1.0,0.09067865984555237,0.6333333333333333,0.9885057471264368,0.4,0.6,1.0,0.85,1.1,1.1
simgp24_g75,random,5,0,0.05374012235135818,0.9736842105263158,0.925,0.9487179487179489,40,0.8735632183908046,0.41379310344827586,0.7241379310344828,0.9310344827586207,,,,,,,,,
simgp_timeblind,random,5,0,0.2666068190204504,1.0,0.125,0.2222222222222222,40,0.3793103448275862,,,,0.20723287391860407,0.16666666666666666,0.5862068965517241,,,,,,
mean_of_samples,random,5,0,0.4910287900399284,1.0,0.0,0.0,40,0.0,,,,0.43161625046006613,0.0,0.0,,,,,,
