model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,random,3,0,0.10908287490096032,0.07507491122343252,0.7692307692307693,0.8333333333333334,0.8,12,1.0,0.7191011235955056,1.0,1.0,0.1,1.0,1.0,1.0,1.1,1.1,0.8333333333333334
simgp_core_nogp,random,3,0,0.10914999560926007,0.07551921816488955,0.75,0.75,0.75,12,1.0,0.5955056179775281,0.9887640449438202,1.0,,,,,,,
simgp_core_g75,random,3,0,0.13524185491418286,0.08273407289786457,0.5,0.75,0.6,12,0.8651685393258427,0.4606741573033708,0.797752808988764,0.8764044943820225,,,,,,,
physgp_core,random,3,0,0.2725917261318274,0.2131667948668533,0.3333333333333333,0.4166666666666667,0.3703703703703704,12,0.8202247191011236,0.48314606741573035,0.7528089887640449,0.8426966292134831,,,,,,,
physgp_rich,random,3,0,0.2743995392913738,0.21684277080027467,0.3333333333333333,0.4166666666666667,0.3703703703703704,12,0.8202247191011236,0.47191011235955055,0.7528089887640449,0.8426966292134831,,,,,,,
simgp_rich,random,3,0,0.10967440748253561,0.07585931057854195,0.75,0.75,0.75,12,1.0,0.7640449438202247,1.0,1.0,,,,,,,
pinn_rich,random,3,0,0.21907076525243485,0.1461216438491355,1.0,0.0,0.0,12,0.39325842696629215,0.16853932584269662,0.25842696629213485,0.4044943820224719,,,,,,,
mean_of_samples,random,3,0,0.28578669192255335,0.23064453223230655,1.0,0.0,0.0,12,,,,,,,,,,,
nearest_sample,random,3,0,0.22777675070587827,0.17027922419182326,1.0,0.0,0.0,12,,,,,,,,,,,
decay_only,random,3,0,0.27530216322403533,0.21912399615743092,0.3333333333333333,0.4166666666666667,0.3703703703703704,12,,,,,,,,,,,
simgp_core,random,4,0,0.10776955521067617,0.0740820501661554,0.7857142857142857,0.9166666666666666,0.8461538461538461,12,1.0,0.7613636363636364,0.9886363636363636,1.0,0.1,1.0,1.0,1.0,1.1,1.1,0.9166666666666666
