route,K,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,recall_min_all,precision_min_all,f1_min_all
optimised,5,0,0.056192816004441516,1.0,0.9142857142857143,0.955223880597015,35,0.9885057471264368,0.735632183908046,0.896551724137931,1.0,0.06558881261928748,0.7142857142857143,1.0,0.925,1.0,0.961038961038961
highest_demand,5,0,0.07312101113749103,1.0,0.8205128205128205,0.9014084507042254,39,1.0,0.5977011494252874,0.9540229885057471,1.0,0.12442465305694839,0.3333333333333333,0.9770114942528736,0.825,1.0,0.9041095890410958
random,5,0,0.06457385388962109,0.9459459459459459,0.9722222222222222,0.9589041095890412,36,1.0,0.6206896551724138,0.9540229885057471,1.0,0.05387244473066629,0.9285714285714286,1.0,0.975,0.9512195121951219,0.9629629629629629
optimised,8,0,0.06325252252316917,1.0,0.9411764705882353,0.9696969696969697,34,1.0,0.6190476190476191,0.9523809523809523,1.0,0.07937395789999115,0.75,1.0,0.95,1.0,0.9743589743589743
highest_demand,8,0,0.0671270189015197,1.0,0.8461538461538461,0.9166666666666666,39,1.0,0.6428571428571429,0.9404761904761905,1.0,0.11683739990021315,0.36666666666666664,0.9642857142857143,0.85,1.0,0.9189189189189189
random,8,0,0.05422041757933551,1.0,0.918918918918919,0.9577464788732395,37,0.9761904761904762,0.6904761904761905,0.9642857142857143,0.9761904761904762,0.06731464954061354,0.75,1.0,0.925,1.0,0.961038961038961
optimised,12,0,0.07774927997126418,0.9666666666666667,0.9666666666666667,0.9666666666666667,30,0.9625,0.4875,0.875,1.0,0.054929262053553744,0.7307692307692307,0.9875,0.975,0.9512195121951219,0.9629629629629629
highest_demand,12,0,0.06751966579064546,1.0,0.9473684210526315,0.972972972972973,38,0.9875,0.5875,0.9375,1.0,0.07440099757806516,0.6896551724137931,1.0,0.95,1.0,0.9743589743589743
random,12,0,0.051199436830692883,1.0,0.8888888888888888,0.9411764705882353,36,0.9625,0.75,0.95,0.9875,0.07511053131476439,0.7407407407407407,0.975,0.9,1.0,0.9473684210526316
optimised,5,1,0.13237840347403945,0.7906976744186046,1.0,0.8831168831168831,34,0.6091954022988506,0.21839080459770116,0.4942528735632184,0.6896551724137931,0.12347149389712862,1.0,0.9770114942528736,1.0,0.7916666666666666,0.8837209302325582
highest_demand,5,1,0.07186995164153,1.0,0.9736842105263158,0.9866666666666666,38,0.9885057471264368,0.6091954022988506,0.9425287356321839,1.0,0.07164778721319025,0.88,0.9885057471264368,0.9736842105263158,0.9736842105263158,0.9736842105263158
random,5,1,0.0624633143292175,0.9696969696969697,0.9411764705882353,0.955223880597015,34,0.9655172413793104,0.6666666666666666,0.8390804597701149,1.0,0.059028626590586386,0.8095238095238095,0.9885057471264368,0.9473684210526315,0.972972972972973,0.9599999999999999
optimised,8,1,0.10278583425174778,0.9411764705882353,1.0,0.9696969696969697,32,0.7380952380952381,0.4166666666666667,0.6071428571428571,0.7857142857142857,0.09191038998039547,1.0,0.9880952380952381,1.0,0.9047619047619048,0.9500000000000001
highest_demand,8,1,0.05172738718113121,1.0,0.9473684210526315,0.972972972972973,38,1.0,0.6547619047619048,1.0,1.0,0.06289608555271356,0.84,0.9761904761904762,0.9473684210526315,0.972972972972973,0.9599999999999999
random,8,1,0.05201278536030557,1.0,0.9117647058823529,0.9538461538461539,34,0.9523809523809523,0.6190476190476191,0.9285714285714286,1.0,0.06253340007031787,0.7391304347826086,0.9285714285714286,0.9210526315789473,0.9722222222222222,0.9459459459459458
optimised,12,1,0.09164517575950931,0.9354838709677419,1.0,0.9666666666666666,29,0.6875,0.3375,0.5875,0.7375,0.10862758443187039,1.0,0.975,1.0,0.9047619047619048,0.9500000000000001
highest_demand,12,1,0.06740058926852448,1.0,0.918918918918919,0.9577464788732395,37,0.85,0.575,0.8,0.925,0.07337563196868462,0.75,0.95,0.9210526315789473,0.9722222222222222,0.9459459459459458
random,12,1,0.09429551159179281,0.9166666666666666,0.9705882352941176,0.9428571428571428,34,0.7875,0.475,0.7125,0.8,0.09693428032549198,1.0,0.9625,0.9736842105263158,0.8809523809523809,0.925
optimised,5,2,0.0757544409398852,0.9,1.0,0.9473684210526316,27,0.9540229885057471,0.39080459770114945,0.8620689655172413,1.0,0.15912380111408606,1.0,1.0,1.0,0.8823529411764706,0.9375
highest_demand,5,2,0.10837248608618412,0.7837837837837838,1.0,0.8787878787878788,29,1.0,0.20689655172413793,0.8735632183908046,1.0,0.22075302211228676,1.0,1.0,1.0,0.7894736842105263,0.8823529411764706
random,5,2,0.0836523658167236,0.8235294117647058,1.0,0.9032258064516129,28,0.9080459770114943,0.3333333333333333,0.7816091954022989,0.9885057471264368,0.1881502268387138,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
optimised,8,2,0.0798302063460705,0.8928571428571429,1.0,0.9433962264150945,25,0.8809523809523809,0.27380952380952384,0.6785714285714286,0.9523809523809523,0.13097046469232398,1.0,0.9761904761904762,1.0,0.8823529411764706,0.9375
highest_demand,8,2,0.06511646240360627,0.8787878787878788,1.0,0.9354838709677419,29,1.0,0.6071428571428571,0.9880952380952381,1.0,0.17643831345840597,1.0,1.0,1.0,0.8823529411764706,0.9375
random,8,2,0.09448549157820207,0.8823529411764706,1.0,0.9375,30,0.9166666666666666,0.2976190476190476,0.75,0.9523809523809523,0.2009794948679554,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
optimised,12,2,0.09169685456351671,0.8888888888888888,1.0,0.9411764705882353,24,0.7375,0.1875,0.4875,0.875,0.1422972931586668,1.0,1.0,1.0,0.8823529411764706,0.9375
highest_demand,12,2,0.07511030472053534,0.875,1.0,0.9333333333333333,28,0.9625,0.3375,0.8875,1.0,0.1875164361855295,1.0,1.0,1.0,0.8823529411764706,0.9375
random,12,2,0.1312311357319766,0.8571428571428571,1.0,0.923076923076923,24,0.95,0.2875,0.725,0.975,0.11510300025085195,1.0,1.0,1.0,0.8823529411764706,0.9375
optimised,5,3,0.04018792539299747,0.8823529411764706,0.967741935483871,0.923076923076923,31,1.0,0.8045977011494253,0.9885057471264368,1.0,0.10801085642511424,1.0,0.9540229885057471,0.9714285714285714,0.8717948717948718,0.9189189189189189
highest_demand,5,3,0.09540987702922113,0.7391304347826086,1.0,0.85,34,0.9885057471264368,0.40229885057471265,0.8620689655172413,0.9885057471264368,0.13905043370425246,1.0,1.0,1.0,0.7446808510638298,0.8536585365853657
random,5,3,0.08627302026729701,0.7333333333333333,1.0,0.846153846153846,33,0.9195402298850575,0.28735632183908044,0.7816091954022989,1.0,0.14252577291300073,1.0,0.9655172413793104,1.0,0.7446808510638298,0.8536585365853657
optimised,8,3,0.046457917795149246,0.8787878787878788,0.9666666666666667,0.9206349206349207,30,0.9880952380952381,0.6190476190476191,0.9404761904761905,1.0,0.12130539679870322,1.0,0.9642857142857143,0.9714285714285714,0.8292682926829268,0.8947368421052632
highest_demand,8,3,0.0894316564452983,0.7674418604651163,0.9705882352941176,0.8571428571428571,34,0.8809523809523809,0.15476190476190477,0.6547619047619048,0.9523809523809523,0.18978074122344235,1.0,0.8928571428571429,0.9714285714285714,0.7391304347826086,0.8395061728395062
random,8,3,0.09719405956880033,0.6888888888888889,1.0,0.8157894736842105,31,0.6428571428571429,0.16666666666666666,0.4166666666666667,0.8452380952380952,0.2203116219701158,1.0,0.5238095238095238,1.0,0.7,0.8235294117647058
optimised,12,3,0.061408682666499036,0.9032258064516129,1.0,0.9491525423728813,28,0.825,0.3875,0.65,0.9875,0.19104419156283994,1.0,0.7125,1.0,0.8333333333333334,0.9090909090909091
highest_demand,12,3,0.09984624137238682,0.7111111111111111,0.9696969696969697,0.8205128205128205,33,0.675,0.175,0.4,0.8,0.1987195118684438,1.0,0.7,0.9714285714285714,0.6938775510204082,0.8095238095238094
random,12,3,0.10141010846306613,0.7142857142857143,1.0,0.8333333333333333,30,0.7375,0.2375,0.4875,0.925,0.16360607227922627,1.0,0.7625,0.9714285714285714,0.7083333333333334,0.8192771084337349
optimised,5,4,0.15259748240965254,0.8064516129032258,1.0,0.8928571428571428,25,0.6551724137931034,0.14942528735632185,0.4942528735632184,0.6896551724137931,0.17394447852462538,0.9411764705882353,0.9540229885057471,1.0,0.75,0.8571428571428571
highest_demand,5,4,0.14943626256641768,0.84375,1.0,0.9152542372881356,27,0.7701149425287356,0.4827586206896552,0.6896551724137931,0.7931034482758621,0.13361339017427434,0.3157894736842105,0.9540229885057471,1.0,0.8181818181818182,0.9
random,5,4,0.24629607033462209,0.5454545454545454,1.0,0.7058823529411764,24,0.6206896551724138,0.16091954022988506,0.4827586206896552,0.7241379310344828,0.2639056402768111,0.9444444444444444,0.8275862068965517,1.0,0.5625,0.72
optimised,8,4,0.17536862821083957,0.7272727272727273,1.0,0.8421052631578948,24,0.5238095238095238,0.11904761904761904,0.3333333333333333,0.6547619047619048,0.1975305530975966,0.9375,0.9166666666666666,1.0,0.6585365853658537,0.7941176470588235
highest_demand,8,4,0.13128161210458483,0.8181818181818182,1.0,0.9,27,0.9166666666666666,0.3333333333333333,0.7619047619047619,0.9404761904761905,0.17961531595832203,0.8421052631578947,0.9523809523809523,1.0,0.7941176470588235,0.8852459016393442
random,8,4,0.13237989842434783,0.7027027027027027,1.0,0.8253968253968255,26,0.7619047619047619,0.38095238095238093,0.6666666666666666,0.8452380952380952,0.18627406957773346,0.9473684210526315,0.8452380952380952,1.0,0.675,0.8059701492537313
optimised,12,4,0.15132604189957202,0.8518518518518519,1.0,0.92,23,0.65,0.225,0.4625,0.725,0.21641554628350185,1.0,0.75,1.0,0.7105263157894737,0.8307692307692308
highest_demand,12,4,0.15676058974488083,0.6666666666666666,1.0,0.8,26,0.6125,0.2125,0.4125,0.725,0.20275566141750304,0.9444444444444444,0.8375,1.0,0.6585365853658537,0.7941176470588235
random,12,4,0.17357911928361122,0.7666666666666667,1.0,0.8679245283018869,23,0.7375,0.225,0.6375,0.825,0.17992425744684842,0.9411764705882353,0.925,1.0,0.75,0.8571428571428571
optimised,5,5,0.0941844305693285,0.8387096774193549,0.9629629629629629,0.896551724137931,27,0.7586206896551724,0.5747126436781609,0.6896551724137931,0.8275862068965517,0.14866369184266767,0.9166666666666666,0.9655172413793104,0.96875,0.8611111111111112,0.911764705882353
highest_demand,5,5,0.10658295333358295,0.7894736842105263,0.967741935483871,0.8695652173913043,31,0.9195402298850575,0.5517241379310345,0.8505747126436781,0.9655172413793104,0.17138424236186436,0.9259259259259259,0.9770114942528736,0.96875,0.7948717948717948,0.8732394366197183
random,5,5,0.13506955536081802,0.8333333333333334,0.967741935483871,0.8955223880597015,31,0.735632183908046,0.3563218390804598,0.6551724137931034,0.7701149425287356,0.2374664199476247,0.9259259259259259,0.735632183908046,0.96875,0.8157894736842105,0.8857142857142857
optimised,8,5,0.12290416307003167,0.75,0.9230769230769231,0.8275862068965517,26,0.6785714285714286,0.4166666666666667,0.6428571428571429,0.7738095238095238,0.1762422536702237,0.9565217391304348,0.8452380952380952,0.90625,0.7435897435897436,0.8169014084507042
highest_demand,8,5,0.10036837447988535,0.8333333333333334,0.967741935483871,0.8955223880597015,31,0.9285714285714286,0.6428571428571429,0.8690476190476191,0.9523809523809523,0.17557653012907692,0.9259259259259259,0.9523809523809523,0.96875,0.8378378378378378,0.8985507246376812
random,8,5,0.08368742585806224,0.7222222222222222,0.9629629629629629,0.8253968253968254,27,0.9047619047619048,0.35714285714285715,0.7857142857142857,0.9523809523809523,0.17666358526843898,0.9130434782608695,0.9642857142857143,0.96875,0.7380952380952381,0.8378378378378379
optimised,12,5,0.0908835142697053,0.84,0.875,0.8571428571428572,24,0.975,0.575,0.85,1.0,0.15897686277267642,0.9523809523809523,0.9625,0.875,0.8,0.8358208955223881
highest_demand,12,5,0.0829612650867479,0.7837837837837838,0.9666666666666667,0.8656716417910447,30,0.875,0.4,0.775,0.925,0.1704971504688547,0.9615384615384616,0.95,0.96875,0.775,0.8611111111111113
random,12,5,0.12477254448550142,0.6585365853658537,0.9642857142857143,0.782608695652174,28,0.575,0.05,0.4,0.7625,0.2054055655836703,0.96,0.925,0.96875,0.6739130434782609,0.7948717948717949
optimised,5,6,0.03317888315423888,0.9,1.0,0.9473684210526316,27,0.9885057471264368,0.8620689655172413,0.9885057471264368,1.0,0.13845589006745804,0.85,1.0,1.0,0.8571428571428571,0.923076923076923
highest_demand,5,6,0.04796953667071171,0.8787878787878788,1.0,0.9354838709677419,29,1.0,0.8850574712643678,0.9655172413793104,1.0,0.14349590784581273,0.6363636363636364,1.0,1.0,0.8823529411764706,0.9375
random,5,6,0.052778563344194465,0.8285714285714286,1.0,0.90625,29,1.0,0.7126436781609196,0.9770114942528736,1.0,0.1589691677335852,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
optimised,8,6,0.0374977962023521,0.8666666666666667,1.0,0.9285714285714286,26,1.0,0.7261904761904762,0.9880952380952381,1.0,0.1450227620443256,1.0,0.9880952380952381,1.0,0.8333333333333334,0.9090909090909091
highest_demand,8,6,0.04568012651985562,0.8285714285714286,1.0,0.90625,29,1.0,0.8452380952380952,0.9880952380952381,1.0,0.1666617202433109,1.0,0.9880952380952381,1.0,0.8333333333333334,0.9090909090909091
random,8,6,0.059603151998812734,0.7714285714285715,1.0,0.870967741935484,27,0.9404761904761905,0.39285714285714285,0.8690476190476191,1.0,0.18726036030841342,1.0,0.9642857142857143,1.0,0.75,0.8571428571428571
optimised,12,6,0.05877012708445145,0.8888888888888888,1.0,0.9411764705882353,24,0.9625,0.6125,0.9125,0.9625,0.21476884836173687,0.5,0.8375,1.0,0.9090909090909091,0.9523809523809523
highest_demand,12,6,0.05235725939955046,0.8235294117647058,1.0,0.9032258064516129,28,1.0,0.5875,0.95,1.0,0.16515488319063334,1.0,0.9875,1.0,0.8333333333333334,0.9090909090909091
random,12,6,0.056627620460839946,0.8064516129032258,1.0,0.8928571428571428,25,0.9375,0.4,0.8625,0.9625,0.16764447837212254,1.0,0.9625,1.0,0.8108108108108109,0.8955223880597014
optimised,5,7,0.0761112518416796,0.9,1.0,0.9473684210526316,27,0.9655172413793104,0.6436781609195402,0.8505747126436781,0.9885057471264368,0.12655024830461334,0.7142857142857143,1.0,1.0,0.9090909090909091,0.9523809523809523
highest_demand,5,7,0.06660865078313538,0.8787878787878788,1.0,0.9354838709677419,29,1.0,0.6551724137931034,1.0,1.0,0.15271894615698328,0.7272727272727273,1.0,1.0,0.8823529411764706,0.9375
random,5,7,0.058073306098247506,0.9090909090909091,1.0,0.9523809523809523,30,1.0,0.6896551724137931,0.9885057471264368,1.0,0.14438677617397302,0.5652173913043478,1.0,1.0,0.9090909090909091,0.9523809523809523
optimised,8,7,0.07474443049342903,1.0,1.0,1.0,26,0.9285714285714286,0.6666666666666666,0.8214285714285714,0.9761904761904762,0.1248456496407554,0.5714285714285714,1.0,1.0,1.0,1.0
highest_demand,8,7,0.05884680453026827,0.90625,1.0,0.9508196721311475,29,1.0,0.7142857142857143,0.9761904761904762,1.0,0.15018793675403921,0.6363636363636364,1.0,1.0,0.9090909090909091,0.9523809523809523
random,8,7,0.0885406198701318,0.8709677419354839,1.0,0.9310344827586207,27,0.9880952380952381,0.4880952380952381,0.8214285714285714,1.0,0.1430504454580276,0.7,1.0,1.0,0.8823529411764706,0.9375
optimised,12,7,0.07106853428399154,0.8846153846153846,1.0,0.9387755102040816,23,0.9625,0.575,0.925,1.0,0.11897549766148886,0.7222222222222222,0.9875,0.9666666666666667,0.90625,0.9354838709677419
highest_demand,12,7,0.05957752892138466,0.875,1.0,0.9333333333333333,28,1.0,0.6,0.95,1.0,0.1534824586341379,0.9523809523809523,1.0,1.0,0.8823529411764706,0.9375
random,12,7,0.05789213776833901,0.8928571428571429,1.0,0.9433962264150945,25,0.9875,0.7,0.9625,0.9875,0.09747325777869767,0.8421052631578947,0.9875,1.0,0.9090909090909091,0.9523809523809523
