model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,random,3,0,0.06159778965813648,1.0,0.85,0.9189189189189189,40,1.0,0.7191011235955056,0.9887640449438202,1.0,0.11684678733697705,0.3548387096774194,0.9775280898876404,0.25,0.6,0.0,1.15,0.9,1.0
simgp24_g75,random,3,0,0.06583012843131081,1.0,0.85,0.9189189189189189,40,0.8651685393258427,0.449438202247191,0.6179775280898876,0.9213483146067416,,,,,,,,,
simgp_timeblind,random,3,0,0.2803850128772099,1.0,0.125,0.2222222222222222,40,0.43820224719101125,,,,0.22219660087908322,0.16129032258064516,0.7078651685393258,,,,,,
mean_of_samples,random,3,0,0.5462260612472204,1.0,0.0,0.0,40,0.0,,,,0.48844750995441216,0.0,0.0,,,,,,
simgp24,random,4,0,0.06349994134198422,1.0,0.825,0.9041095890410958,40,1.0,0.6818181818181818,0.9545454545454546,1.0,0.11944307002002696,0.3548387096774194,0.9772727272727273,0.25,0.6,1.0,1.0,0.9,1.1
simgp24_g75,random,4,0,0.06581946065252725,1.0,0.8,0.888888888888889,40,0.6818181818181818,0.375,0.5568181818181818,0.8409090909090909,,,,,,,,,
simgp_timeblind,random,4,0,0.2776943130387109,1.0,0.125,0.2222222222222222,40,0.4090909090909091,,,,0.2208022355431244,0.16129032258064516,0.5795454545454546,,,,,,
mean_of_samples,random,4,0,0.5323047640887912,1.0,0.0,0.0,40,0.0,,,,0.4764019017574916,0.0,0.0,,,,,,
simgp24,random,5,0,0.05524916637348002,1.0,0.9743589743589743,0.9870129870129869,39,1.0,0.7931034482758621,1.0,1.0,0.0880239449594099,0.7,1.0,0.55,0.6,1.0,0.85,1.1,1.1
simgp24_g75,random,5,0,0.0549266125920473,0.9743589743589743,0.9743589743589743,0.9743589743589743,39,0.9195402298850575,0.4827586206896552,0.8505747126436781,0.9885057471264368,,,,,,,,,
simgp_timeblind,random,5,0,0.25072779606056933,1.0,0.15384615384615385,0.2666666666666667,39,0.40229885057471265,,,,0.1970822166767559,0.16666666666666666,0.6436781609195402,,,,,,
